지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s)
108,서울,1974-01-01,1,-4.3,7.6,0,5,2.1
108,서울,1974-01-02,3,-1.1,9.3,,3.3,1.6
108,서울,1974-01-03,3,-.9,8.7,,3,1.3
108,서울,1974-01-04,1.3,-1.6,5.6,,4,1.9
108,서울,1974-01-05,-1.1,-3.7,2.1,,3,1
108,서울,1974-01-06,-1.5,-5,4.4,,3.7,1.7
108,서울,1974-01-07,-.5,-4.8,5.3,,3.8,1.4
108,서울,1974-01-08,1.4,-1.3,6.2,,4.7,1.9
108,서울,1974-01-09,1.7,-1.6,6.6,,4.2,1.9
108,서울,1974-01-10,.8,-2.2,6.4,,4.3,1.9
108,서울,1974-01-11,.2,-2.7,5.7,,4.2,2
108,서울,1974-01-12,-.8,-5,4.3,,4.7,2
108,서울,1974-01-13,-1.6,-6,3.8,,4.7,1.8
108,서울,1974-01-14,.1,-5.1,6.9,,4,1.5
108,서울,1974-01-15,-2,-7.5,1,,9,3.9
108,서울,1974-01-16,-6,-10,-1.2,,5.3,2.6
108,서울,1974-01-17,-3.6,-6.4,1,,6.2,2.5
108,서울,1974-01-18,-4.6,-8.6,1.3,,4.3,2
108,서울,1974-01-19,-2.2,-6,3.8,0,5.7,2
108,서울,1974-01-20,-.9,-5,3.2,1.1,4.2,2.3
108,서울,1974-01-21,-.2,-1.4,1.7,12.1,5.2,2.5
108,서울,1974-01-22,-1.5,-8,3.7,,8,3.1
108,서울,1974-01-23,-11.2,-13,-8,,7,4.3
108,서울,1974-01-24,-11.2,-15.5,-5.7,,5.5,2.4
108,서울,1974-01-25,-9.1,-13.4,-4.3,,4.3,2.1
108,서울,1974-01-26,-7.2,-12.6,-1.8,,3.7,1.5
108,서울,1974-01-27,-6.8,-9.8,-4,1.9,6.7,2.7
108,서울,1974-01-28,-8.5,-12.5,-3.9,,3.5,1.2
108,서울,1974-01-29,-4.8,-11,1.8,,4.2,2
108,서울,1974-01-30,-1.2,-3.6,2.9,,4,2.1
108,서울,1974-01-31,-2.2,-5.6,2.6,,5.3,2.2
108,서울,1974-02-01,-4.2,-7.6,.7,,5,2
108,서울,1974-02-02,-2.7,-7.3,3.8,,3.7,1.4
108,서울,1974-02-03,.3,-3.7,6.2,,3.7,1.8
108,서울,1974-02-04,.7,-3.2,5.7,,4,1.6
108,서울,1974-02-05,2,-.4,5.3,0,5,2.8
108,서울,1974-02-06,-.8,-2.6,2.7,,8,4.7
108,서울,1974-02-07,-1.6,-3.1,.1,2.6,6,3.2
108,서울,1974-02-08,-4.3,-6.5,-2.2,2.1,7,4.2
108,서울,1974-02-09,-6.5,-9.7,-3.8,,4,2.2
108,서울,1974-02-10,-5.5,-7.4,-1.1,1.7,8.7,4
108,서울,1974-02-11,-8.6,-12,-4.8,,7.8,3
108,서울,1974-02-12,-6.1,-9.8,-.3,6,9.7,3.1
108,서울,1974-02-13,-2.7,-9.4,4.3,,5.5,2
108,서울,1974-02-14,1.9,-2.2,7.1,,3.7,1.8
108,서울,1974-02-15,1.8,.5,3.3,5.3,5.5,2.9
108,서울,1974-02-16,2.4,1.2,4.2,,4.3,1.3
108,서울,1974-02-17,4.2,.1,9.7,,5.7,2.1
108,서울,1974-02-18,6.5,4.7,9.9,0,2.7,1.3
108,서울,1974-02-19,5.3,2.1,7,4.7,4,1.6
108,서울,1974-02-20,-.7,-3.2,2.6,,6.7,3.9
108,서울,1974-02-21,.7,-4.5,6.3,,3.3,1.5
108,서울,1974-02-22,2,-5.6,5.4,1.4,9,3.9
108,서울,1974-02-23,-6.1,-9,-2.6,,8,4.3
108,서울,1974-02-24,-7.3,-8.9,-5.5,,6,3.6
108,서울,1974-02-25,-10.6,-13.4,-8.1,,10.7,4.9
108,서울,1974-02-26,-9.1,-14,-3.5,,4.7,2.4
108,서울,1974-02-27,-5.4,-10.2,.2,,6,3
108,서울,1974-02-28,-3.8,-8,1,,4.3,1.9
108,서울,1974-03-01,-1.1,-5.9,5.4,,6,2.6
108,서울,1974-03-02,2.1,-2.8,9.5,,4.3,2
108,서울,1974-03-03,4.2,.9,8.4,0,3.3,1.6
108,서울,1974-03-04,5.3,2.2,9.3,0,4,1.7
108,서울,1974-03-05,6.8,1.5,13.7,3.8,4.5,1.7
108,서울,1974-03-06,7.5,5.5,13.4,14.2,5.3,3.2
108,서울,1974-03-07,6.7,5,10.6,0,5,2.6
108,서울,1974-03-08,7.2,3.8,12.5,,4.7,1.9
108,서울,1974-03-09,5.3,2.4,7.2,1.9,6.3,2.2
108,서울,1974-03-10,.8,-3.1,4.4,,7.2,4.6
108,서울,1974-03-11,-4.5,-7.4,-2.6,2.2,8.7,5
108,서울,1974-03-12,-4.9,-8,-.1,0,9.3,4.6
108,서울,1974-03-13,-2.5,-7.5,3.1,,5.7,2.4
108,서울,1974-03-14,.7,-3.5,6.4,,6,2.8
108,서울,1974-03-15,2.6,-.8,6.2,,4.7,2
108,서울,1974-03-16,3.4,1.7,8,0,5.8,2.7
108,서울,1974-03-17,3.1,-1.2,9.6,,5.7,2.6
108,서울,1974-03-18,.6,-1.8,4.1,.8,9.3,5.8
108,서울,1974-03-19,1.6,-3.3,7.7,,5.3,2.8
108,서울,1974-03-20,2.7,.1,8.4,.7,4.7,2.1
108,서울,1974-03-21,1.3,-.7,6.5,1.8,10.2,5.4
108,서울,1974-03-22,.7,-1.9,5.2,0,8.8,6.1
108,서울,1974-03-23,1.3,-3.8,6.9,,6.8,3
108,서울,1974-03-24,3.5,-.6,8.5,,3.7,1.7
108,서울,1974-03-25,7.3,3.2,13.8,,5.7,1.9
108,서울,1974-03-26,8.2,5,13.8,,5,2.4
108,서울,1974-03-27,6.3,2.3,13,,8.3,3.2
108,서울,1974-03-28,7.7,1.5,15.1,,6.7,3.2
108,서울,1974-03-29,9.9,4.8,16,,6.7,2.8
108,서울,1974-03-30,13,7.1,19.5,,5,2
108,서울,1974-03-31,7.5,2.9,12.7,2.3,8.3,4.1
108,서울,1974-04-01,4.3,1.6,8.7,,10.7,5.9
108,서울,1974-04-02,5.2,.8,10.2,,10.3,5.3
108,서울,1974-04-03,8.9,3.3,14.6,,12.7,5.4
108,서울,1974-04-04,9.2,7.5,13.3,6.8,7.7,3.2
108,서울,1974-04-05,9.8,5.4,16.8,,5,1.6
108,서울,1974-04-06,15.2,8.2,23.1,5.2,5.7,2.1
108,서울,1974-04-07,11.3,9,12.2,40,8.3,4.7
108,서울,1974-04-08,11.9,7.9,17.5,,7.3,5
108,서울,1974-04-09,10.4,5.7,17.3,,7,3.6
108,서울,1974-04-10,9.7,5.7,16.4,,5.7,3.3
108,서울,1974-04-11,8.6,4,13.4,.1,7,3.2
108,서울,1974-04-12,13.5,6.5,22.2,,5.7,2.1
108,서울,1974-04-13,11.7,7.5,14.7,35.3,7.7,2.9
108,서울,1974-04-14,11.6,7.3,17.8,.2,6.3,3
108,서울,1974-04-15,10.8,6.6,16.6,,7.7,2.9
108,서울,1974-04-16,9.1,5.9,13.5,,6.3,3.6
108,서울,1974-04-17,9.3,4.4,14.6,1.2,4.3,1.6
108,서울,1974-04-18,12.6,9,17.4,,6.7,2.4
108,서울,1974-04-19,14.4,8.5,20.8,,5.7,2.7
108,서울,1974-04-20,13.4,9.3,18.3,9.3,7.7,2.6
108,서울,1974-04-21,9.8,6,14.8,20.1,10.5,5.8
108,서울,1974-04-22,6.3,3.4,10.6,1.6,8.7,3.3
108,서울,1974-04-23,12.1,3.1,20.2,,5.3,2.1
108,서울,1974-04-24,15.6,12.3,17.7,1.3,10,3.1
108,서울,1974-04-25,10.5,4.8,13.9,1.5,9.7,5.2
108,서울,1974-04-26,7.1,4.3,10.3,2,7.3,3.7
108,서울,1974-04-27,12.7,5,19.3,,8.7,3
108,서울,1974-04-28,11,7.3,15,20.2,8,3.6
108,서울,1974-04-29,12.1,6.5,17.7,,7.3,3.7
108,서울,1974-04-30,13.5,10.6,15.2,,8.3,5.1
108,서울,1974-05-01,13.4,7,19.6,,7.3,2.8
108,서울,1974-05-02,13.9,7.7,21.1,,5,2.5
108,서울,1974-05-03,14.5,8.7,20.9,,6.7,3.1
108,서울,1974-05-04,13,9.9,18.1,,6.7,2.9
108,서울,1974-05-05,13.4,7.7,19.8,,7.3,2.7
108,서울,1974-05-06,15.6,8.3,23.2,,6,2.3
108,서울,1974-05-07,16.7,10.4,22.9,,4.7,1.9
108,서울,1974-05-08,12.3,10.7,14.4,62.4,3.7,1.7
108,서울,1974-05-09,15.6,10.3,21.8,,9.7,3.2
108,서울,1974-05-10,14.5,9.3,20.4,,6.2,3.4
108,서울,1974-05-11,17.8,11.8,25.1,,5.3,1.6
