지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s)
108,서울,1924-01-01,.5,-7.7,5.5,0,7.4,2.6
108,서울,1924-01-02,-2.6,-7.5,.6,,5.8,3
108,서울,1924-01-03,1.5,-6,6,.2,5,1.8
108,서울,1924-01-04,1.5,-2.1,5,,7,3.8
108,서울,1924-01-05,-1.2,-8.8,3.8,0,3.7,1.7
108,서울,1924-01-06,4.3,-.5,9.2,.1,4.8,2.1
108,서울,1924-01-07,-6.7,-12.1,4.9,.2,9.3,6.8
108,서울,1924-01-08,-6.9,-14,-2,0,2.3,1.1
108,서울,1924-01-09,-3.3,-6.6,1.3,0,8.4,3.4
108,서울,1924-01-10,-4.2,-11.6,2.5,0,2.8,1.2
108,서울,1924-01-11,.6,-6.3,7.6,0,2.3,1.3
108,서울,1924-01-12,3.6,-1.2,9,,1.8,.6
108,서울,1924-01-13,2.8,-1.4,7.9,,1.9,.7
108,서울,1924-01-14,2.8,-1,7,,3.6,1.5
108,서울,1924-01-15,1.2,-4.2,7,,1.5,1
108,서울,1924-01-16,1.8,-2.1,7,,2.8,1.9
108,서울,1924-01-17,-.4,-4.1,4.1,,2.8,1.3
108,서울,1924-01-18,-.8,-5.3,4.4,,4.4,1.6
108,서울,1924-01-19,-1.2,-6.3,1.5,9,1.9,1.1
108,서울,1924-01-20,-3.3,-6.5,.8,1.5,7,1.1
108,서울,1924-01-21,-5.4,-12.9,.2,,1.8,.8
108,서울,1924-01-22,-3.6,-7.7,-.2,.2,8.3,4
108,서울,1924-01-23,-7.2,-11.6,-3.4,,2.2,1.7
108,서울,1924-01-24,-5.1,-10.4,.1,,.8,.9
108,서울,1924-01-25,-4.6,-11.2,2,2.4,6,1.9
108,서울,1924-01-26,-13,-15.2,-4.9,0,8.8,6.7
108,서울,1924-01-27,-12.7,-18.7,-6.9,,2.8,1.2
108,서울,1924-01-28,-6.5,-14.7,-1.1,,3.7,1.2
108,서울,1924-01-29,-5.3,-11.7,-.3,,1.4,.8
108,서울,1924-01-30,-4.2,-11.1,2,,3.3,.9
108,서울,1924-01-31,-1.3,-9.1,5.5,,2,1.3
108,서울,1924-02-01,-1.4,-4,1.3,,3.4,2.4
108,서울,1924-02-02,-4.1,-8,.6,,5.5,3.3
108,서울,1924-02-03,-4.9,-11.6,1.3,,2.8,1.5
108,서울,1924-02-04,-1.2,-8.6,6.1,,1.8,1.1
108,서울,1924-02-05,1.6,-4,7.1,,3.6,1.5
108,서울,1924-02-06,5.2,-1.1,9.4,,5.8,2.9
108,서울,1924-02-07,7.2,4.8,12.1,65.6,7.3,5.8
108,서울,1924-02-08,3.6,.7,6.6,2.1,5.8,2.9
108,서울,1924-02-09,4.7,.5,7.2,,8.4,6.1
108,서울,1924-02-10,3,1.2,5.4,,6.8,4.4
108,서울,1924-02-11,2.3,-.5,6.6,,4.8,2
108,서울,1924-02-12,-6.9,-10,.4,,9.4,6.1
108,서울,1924-02-13,-6.8,-12.3,-3.7,0,6.8,4.1
108,서울,1924-02-14,-.7,-4.9,3.5,7.5,6.9,3.7
108,서울,1924-02-15,-7.5,-9.5,-1.1,.8,11.9,7.3
108,서울,1924-02-16,-7,-12.9,-2.1,0,7.8,3.3
108,서울,1924-02-17,-3.4,-11.6,2.5,,4,1.6
108,서울,1924-02-18,1.3,-4.1,6.9,0,8.7,3.4
108,서울,1924-02-19,0,-3.4,5,,5.6,2.2
108,서울,1924-02-20,-1.8,-3.2,-.4,0,2.9,1.7
108,서울,1924-02-21,-2.3,-7.6,1.1,0,4.6,2.6
108,서울,1924-02-22,-6.1,-10.2,-1.5,.1,7.5,4.9
108,서울,1924-02-23,-8.9,-13.2,-4.2,,6.2,4.4
108,서울,1924-02-24,-7,-12.7,-2.5,.2,6.9,2.8
108,서울,1924-02-25,-5.5,-10.6,-.1,,5.8,3.2
