지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s)
108,서울,1914-01-01,3.4,-2.1,7,0,5.7,2.8
108,서울,1914-01-02,-3.5,-8.4,4.2,.3,11.8,7.9
108,서울,1914-01-03,-8.1,-10.3,-4.4,,4.2,3.5
108,서울,1914-01-04,-3.5,-10.6,1.3,,3.5,2.1
108,서울,1914-01-05,2.4,-1.6,6.8,0,4.5,2.1
108,서울,1914-01-06,.2,-3.5,4.5,1.4,8.4,1.9
108,서울,1914-01-07,-8.6,-11.2,-1.3,.1,8.5,5.3
108,서울,1914-01-08,-10.3,-14,-7.5,,2.4,1.5
108,서울,1914-01-09,-3.7,-9.3,-.8,0,2.8,1.9
108,서울,1914-01-10,1.5,-1.5,5,.5,3.5,1.8
108,서울,1914-01-11,-1.4,-3.1,1.9,0,1.8,1.1
108,서울,1914-01-12,-.1,-5.1,6,0,2.5,1.3
108,서울,1914-01-13,3.5,-2.5,9.2,42.4,4.7,2.7
108,서울,1914-01-14,.4,-3,8.2,14.5,9.5,7.5
108,서울,1914-01-15,-1,-6.2,3.3,0,4.6,2.2
108,서울,1914-01-16,-3.4,-5.5,-.3,,5.2,3.4
108,서울,1914-01-17,-1.8,-7.2,2,,3.1,1.4
108,서울,1914-01-18,1.6,-2.7,4,0,3.5,1.7
108,서울,1914-01-19,1.3,-.9,3.2,,2.7,1.4
108,서울,1914-01-20,-1,-2.8,1.3,,3.7,2.5
108,서울,1914-01-21,-1,-3.6,2.5,,4.2,2
108,서울,1914-01-22,-1.2,-6.3,4.3,0,3.2,1.2
108,서울,1914-01-23,-1.9,-6.2,3.2,0,2,1
108,서울,1914-01-24,-1.1,-5.2,2,34.4,8.5,1.7
108,서울,1914-01-25,-6.9,-8.9,-2.6,,9.4,6.6
108,서울,1914-01-26,-6.3,-12.6,-1.7,0,3.8,1.9
108,서울,1914-01-27,-6.4,-9.6,-2.6,,4,2.8
108,서울,1914-01-28,-3.8,-11.1,1.3,0,2.8,1.3
108,서울,1914-01-29,-.8,-4.7,2.9,,6.2,2.7
108,서울,1914-01-30,-2.8,-5.9,.3,,5.5,3
108,서울,1914-01-31,-4.3,-8.3,-.3,,3.9,2.3
108,서울,1914-02-01,-5,-9.2,-.6,0,4.2,2.3
108,서울,1914-02-02,-4.8,-8.8,-1,,3.9,2.5
108,서울,1914-02-03,-5.1,-10.7,.5,0,3.4,1.5
108,서울,1914-02-04,-2.5,-9.7,4.2,0,3.3,1.2
108,서울,1914-02-05,.4,-2.3,2.4,.3,2.4,1.1
108,서울,1914-02-06,-2.5,-5,.6,,6.6,4.1
108,서울,1914-02-07,-2.8,-8.7,2.2,0,2.5,1
108,서울,1914-02-08,.8,-2.4,4.9,0,3.7,2
108,서울,1914-02-09,-2.9,-6.2,.1,.2,5.3,3.6
108,서울,1914-02-10,-5.1,-9.6,-1,,3.6,2
108,서울,1914-02-11,-4.3,-10.4,1.7,0,2.7,1.4
108,서울,1914-02-12,-3,-9.4,2.9,,3.9,1.6
108,서울,1914-02-13,-2,-7.7,4.3,0,4.2,1.6
108,서울,1914-02-14,.1,-5.1,6.5,0,3.1,1
108,서울,1914-02-15,3.2,-3.1,9.9,0,4,1.7
108,서울,1914-02-16,6.5,.8,12.3,,3.2,1.3
108,서울,1914-02-17,7.2,3.4,11.5,1.3,3.4,1.9
108,서울,1914-02-18,4.1,.5,7.3,.8,9.5,8.1
108,서울,1914-02-19,4.5,2,6.6,,4.4,3.7
108,서울,1914-02-20,4.4,.2,8.9,,2.8,1.2
108,서울,1914-02-21,6.8,2.8,11,,3.3,1.8
108,서울,1914-02-22,4.5,2.1,7,4.5,3.1,2.6
108,서울,1914-02-23,4.2,1.6,7.1,2.4,4.7,2.8
108,서울,1914-02-24,3.4,1.7,5.6,,4.5,2.1
108,서울,1914-02-25,2.4,-.2,6.9,0,6.1,2.5
108,서울,1914-02-26,.6,-2.3,5.3,,10.4,5.1
108,서울,1914-02-27,-.8,-5.4,3.7,,3.2,2
108,서울,1914-02-28,1.1,-5.7,8,,3.4,1.5
108,서울,1914-03-01,5,-2.6,13.3,0,2.8,1
108,서울,1914-03-02,7.1,1.3,14.7,,4.6,2.7
108,서울,1914-03-03,4.9,2.3,9.6,,5.8,2.9
108,서울,1914-03-04,4.4,-1.9,12.8,,2.6,1.5
108,서울,1914-03-05,5.6,.5,8.8,38.4,6.7,2.8
108,서울,1914-03-06,8.4,4.8,14.1,153.1,10.7,6.3
108,서울,1914-03-07,2.5,.9,4.8,8,9.1,7.1
108,서울,1914-03-08,0,-1.4,1.4,,6.8,4.2
108,서울,1914-03-09,4.3,-1.4,9.9,,2.5,1.3
108,서울,1914-03-10,6.3,2.8,11.1,,4.7,3.3
108,서울,1914-03-11,5.2,1,10.2,,4.7,3.6
108,서울,1914-03-12,6.9,.6,13.9,,4.9,2.6
108,서울,1914-03-13,4.2,-.2,8,7.2,5.7,4
108,서울,1914-03-14,.2,-2.4,4.4,,6.2,3.7
108,서울,1914-03-15,-.7,-3.7,2.3,,7,3.9
108,서울,1914-03-16,1.9,-2.3,5.6,0,8.8,3.8
108,서울,1914-03-17,5.4,-1,9.9,,5.4,2.1
108,서울,1914-03-18,6.2,3.3,10.4,0,4.4,3.1
108,서울,1914-03-19,6,-.2,13.9,0,5.1,2
108,서울,1914-03-20,7.4,1.7,12.6,,5.3,1.8
108,서울,1914-03-21,8.7,2.2,16,0,4.4,1.9
108,서울,1914-03-22,11.9,6.5,16.4,,2.5,1
108,서울,1914-03-23,12.6,9.7,17.1,1.8,2.9,1.6
108,서울,1914-03-24,10.6,5.4,15.8,3,7.6,4.3
108,서울,1914-03-25,2.1,-2.3,5.8,,8.5,6.5
108,서울,1914-03-26,.4,-4.3,4.1,,7,3.9
108,서울,1914-03-27,2.5,-.6,5.8,,6.8,4.1
108,서울,1914-03-28,3.9,-1.1,9.8,,6.3,2.6
108,서울,1914-03-29,7.4,-.1,14.4,6,4.4,2.6
108,서울,1914-03-30,7.4,2.3,9.9,7.5,7.6,5
108,서울,1914-03-31,2.6,.4,4.9,1.9,3.3,2.5
108,서울,1914-04-01,7.3,4.1,11.7,0,4,2.2
108,서울,1914-04-02,5.6,4.5,7.2,0,5.4,4.4
108,서울,1914-04-03,4.3,.8,8.4,2.6,7,4.7
108,서울,1914-04-04,2.9,.2,6.3,3,5,2.8
108,서울,1914-04-05,4.5,.1,10.1,0,7.1,3.1
108,서울,1914-04-06,3.2,.8,6.3,.6,5.6,1.9
108,서울,1914-04-07,5,.8,10.3,4,4.9,2.4
108,서울,1914-04-08,6.3,1.1,12.9,.4,6.7,2.4
108,서울,1914-04-09,7.6,1.2,14.5,,7,3.1
108,서울,1914-04-10,8.1,1.8,15.7,,6.7,2.8
108,서울,1914-04-11,13,3.6,21.3,,5,2.1
108,서울,1914-04-12,11.5,8.6,16,7.7,5.5,4.2
108,서울,1914-04-13,9.4,8.4,10.2,52.8,8.7,6.9
108,서울,1914-04-14,10.4,7.1,17,1.1,5.4,2.7
108,서울,1914-04-15,8.8,6.3,11.6,.3,3.2,1.9
108,서울,1914-04-16,8.9,3.8,14.1,3.9,4.5,2.7
108,서울,1914-04-17,9.3,3.7,16,0,5.5,2.6
108,서울,1914-04-18,9.5,4,15.4,,5.6,2.6
108,서울,1914-04-19,12.7,4.9,19.5,0,4.1,1.9
108,서울,1914-04-20,15.3,9.3,22.9,,5.7,2.1
108,서울,1914-04-21,14,9.1,20.9,0,5.5,2.7
108,서울,1914-04-22,13,8.1,20.1,0,5.1,2.8
108,서울,1914-04-23,15.5,10.1,21.4,,7.7,4.1
108,서울,1914-04-24,14,7.5,22.2,.3,4.2,2.7
108,서울,1914-04-25,14.5,7.9,21,.1,7.7,4.4
108,서울,1914-04-26,16.4,13.6,19.2,0,2.7,1.9
108,서울,1914-04-27,17.3,12.5,24.8,0,4.4,2.5
108,서울,1914-04-28,16.3,11.9,21.8,,7.9,3.9
108,서울,1914-04-29,14.3,7.6,20.7,,4.9,2.3
108,서울,1914-04-30,14.6,10.4,19.8,,5.7,2.7
108,서울,1914-05-01,13,10.2,17.5,,4.5,2.5
108,서울,1914-05-02,13.6,7.3,20.9,,6.5,2.5
108,서울,1914-05-03,13.5,7.4,21.3,,6,2.2
108,서울,1914-05-04,13,6.3,20.3,,5.3,2.5
108,서울,1914-05-05,13.3,8.8,19.5,,6.1,3.1
108,서울,1914-05-06,15.4,8.3,23.6,,5.2,2.6
108,서울,1914-05-07,14.6,8.9,21.7,,6.1,3.3
108,서울,1914-05-08,15.5,8.3,23.9,0,6.2,2.3
108,서울,1914-05-09,16.9,11.8,24.1,,6.7,2.3
108,서울,1914-05-10,18.9,9.8,28.5,,4.8,1.4
108,서울,1914-05-11,21.3,13.1,29.1,,4.4,2
108,서울,1914-05-12,18.4,13.6,26,,4.8,3.3
108,서울,1914-05-13,16.3,14.3,17.6,1.4,3.3,1.8
108,서울,1914-05-14,17.4,12.3,23,,3.9,2.2
108,서울,1914-05-15,17.6,14.4,24.2,0,4.9,2.3
108,서울,1914-05-16,17,9.6,25,0,5.1,2.5
108,서울,1914-05-17,18.8,11.3,27.1,,3.7,1.9
108,서울,1914-05-18,19.6,12.1,28.2,,6.1,2.3
108,서울,1914-05-19,19.9,16.7,22,23.7,5.5,2.8
108,서울,1914-05-20,21,17,26.1,,4.3,2.2
108,서울,1914-05-21,19,15.1,24.9,,6.7,3.9
108,서울,1914-05-22,17.6,10.3,24.6,,6.4,3.1
108,서울,1914-05-23,18.1,14.8,22.1,,7.8,4
108,서울,1914-05-24,17,10.5,24.7,,6.3,3
108,서울,1914-05-25,18.1,9.9,26.9,,4.1,2.5
108,서울,1914-05-26,19.6,10,26.7,0,6.7,2.9
108,서울,1914-05-27,17.9,14,21.3,28.6,4.7,2.4
108,서울,1914-05-28,18.3,14.9,21.7,0,2.7,1.8
108,서울,1914-05-29,19.7,16.1,25.5,.8,3.5,1.7
108,서울,1914-05-30,17.9,14.4,23.8,,6.3,3.1
108,서울,1914-05-31,19,13,25.1,,2.7,1.6
108,서울,1914-06-01,19,14.6,23.8,,3.8,1.7
108,서울,1914-06-02,20,16.7,24.8,0,5.2,2.4
108,서울,1914-06-03,17.2,15.2,20.8,2,5.1,2.1
108,서울,1914-06-04,19.7,15.2,25.6,.3,8.2,4.4
108,서울,1914-06-05,19.5,16.4,24.2,,3.9,2.5
108,서울,1914-06-06,20.6,16.5,26.6,,4.3,2.7
108,서울,1914-06-07,18,15.6,20.1,18.7,4.1,2
108,서울,1914-06-08,18.2,15.5,21.1,0,5.6,3.7
108,서울,1914-06-09,18.2,13,23.1,,6.3,3.7
108,서울,1914-06-10,19.2,14.7,26,0,7.8,3.7
108,서울,1914-06-11,19.3,13.2,25.2,0,4.2,2.3
108,서울,1914-06-12,21.2,15.3,28.1,0,3.2,1.7
108,서울,1914-06-13,20.7,16.9,26.4,.2,3.6,2.2
108,서울,1914-06-14,20.9,15.5,27.8,0,5.7,2.5
108,서울,1914-06-15,17.2,16.3,21.1,5.7,7,1.6
108,서울,1914-06-16,21.9,15.5,28.8,,2.5,1.2
108,서울,1914-06-17,22.4,18.6,27.5,0,4.9,2.7
108,서울,1914-06-18,21.7,18.2,27,,5.6,3
108,서울,1914-06-19,21.4,16.4,26.7,0,2.9,1.3
108,서울,1914-06-20,24.2,16.8,32.7,0,4.7,1.3
108,서울,1914-06-21,24.9,19.3,32.3,,3.2,1.8
108,서울,1914-06-22,24.6,18.8,32.8,0,5.2,1.8
108,서울,1914-06-23,25.8,20.5,32.7,,2.3,1.8
108,서울,1914-06-24,27.9,22.5,35,,5.4,2.9
108,서울,1914-06-25,21.6,19.4,24.1,57.5,4.5,3.9
108,서울,1914-06-26,23,21.7,26.8,6.5,4.7,3.6
108,서울,1914-06-27,23.2,20.2,28,.2,3,1.5
108,서울,1914-06-28,25.2,20.8,30.1,13.5,4.3,1.6
108,서울,1914-06-29,22.8,21.7,26,17.6,5.4,1.9
108,서울,1914-06-30,23.9,22.1,26,15.1,6.3,3
108,서울,1914-07-01,26.4,23.3,29.8,3.5,6.5,3.5
108,서울,1914-07-02,24.7,23.5,26.7,1.4,5.1,4.2
108,서울,1914-07-03,26,23.9,29.9,1.9,7,3.8
108,서울,1914-07-04,23.4,21.9,24.7,76.4,6.3,4.1
108,서울,1914-07-05,22.5,19.4,27.2,20.7,2.8,1.9
108,서울,1914-07-06,22.7,19.4,28.1,8.7,4.4,2.7
108,서울,1914-07-07,24.6,19.7,30.4,0,2.5,1.5
108,서울,1914-07-08,25.1,21.8,30.6,2,4.3,1.8
108,서울,1914-07-09,22.4,20.9,25,47.4,8.7,3.2
108,서울,1914-07-10,24,20.5,28.6,,2.7,1.8
