지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s)
108,서울,1907-10-01,13.5,7.9,20.7,,3.7,2.5
108,서울,1907-10-02,16.2,7.9,22,.2,2.2,1.1
108,서울,1907-10-03,16.2,13.1,21.3,2.4,6.2,2.3
108,서울,1907-10-04,16.5,11.2,22,,1.7,1.3
108,서울,1907-10-05,17.6,10.9,25.4,,2.4,1.7
108,서울,1907-10-06,13,11.2,21.3,24.8,6.2,2.8
108,서울,1907-10-07,11.3,6.3,16.1,,3.7,3.9
108,서울,1907-10-08,8.9,3.9,14.9,,.6,.9
108,서울,1907-10-09,11.6,3.8,21.1,,1.9,1
108,서울,1907-10-10,14.2,6.4,24.1,,1.9,1.7
108,서울,1907-10-11,15.4,10.1,20.4,0,3.8,1.2
108,서울,1907-10-12,13.9,11.1,17.4,1.6,5.6,1.2
108,서울,1907-10-13,13.8,8.3,21.3,,2.9,1.7
108,서울,1907-10-14,13,6.1,20.6,,3.4,1.9
108,서울,1907-10-15,13.1,5.7,20.9,,1.2,1.3
108,서울,1907-10-16,14.1,8.2,20.2,,5.8,1.3
108,서울,1907-10-17,16.4,10.3,21.6,,5.8,4.7
108,서울,1907-10-18,14.3,9.8,20.9,,4.4,3.5
108,서울,1907-10-19,13.9,6.7,21.3,,1.7,1.1
108,서울,1907-10-20,18.3,12.4,22.7,,7.5,5.3
108,서울,1907-10-21,15.2,10.7,19.9,1.7,1.7,3.3
108,서울,1907-10-22,15.4,12.1,19.6,8.8,3.2,3
108,서울,1907-10-23,13.1,8.1,16.3,6.4,8.5,4
108,서울,1907-10-24,9.7,3.3,17.1,,2.4,1.8
108,서울,1907-10-25,12.7,6.2,18.7,.5,3.2,1.9
108,서울,1907-10-26,11.8,7.2,18.2,0,3.6,1.2
108,서울,1907-10-27,14,7.7,20.7,,2.5,1.6
108,서울,1907-10-28,13.8,8.4,19.6,.5,6.5,2.2
108,서울,1907-10-29,14.3,10.7,20,.1,6.1,2.2
108,서울,1907-10-30,12.2,6.7,20.1,,3.7,1.8
108,서울,1907-10-31,13.4,5.2,20.3,,5.4,1.7
108,서울,1907-11-01,16.1,11.7,21.3,,3.9,2.2
108,서울,1907-11-02,14.2,9.1,21.1,9.1,6.4,3.6
108,서울,1907-11-03,6.4,2.3,11.1,,7.7,2.9
108,서울,1907-11-04,5.9,-1,13.6,,.7,1.5
108,서울,1907-11-05,8.6,1.7,17,0,2.7,1.1
108,서울,1907-11-06,9.5,3.6,18.1,,3.7,1.5
108,서울,1907-11-07,5.7,0,12.4,4.3,11,5.1
108,서울,1907-11-08,4.1,-.7,9.4,,3.1,1.6
108,서울,1907-11-09,6.9,.7,11.9,.3,4.9,1.1
108,서울,1907-11-10,7.9,1.7,13.2,0,1.6,.6
108,서울,1907-11-11,10.3,8.2,13.4,19.3,3,3.4
108,서울,1907-11-12,9.9,5.4,14.9,,4.2,1.9
108,서울,1907-11-13,9.5,3.7,16.4,,.2,.6
108,서울,1907-11-14,9.5,5.1,15.2,,.3,1
108,서울,1907-11-15,11.3,3.9,17.6,,2.2,1.3
108,서울,1907-11-16,11.6,10.1,12.6,5.4,1.8,1.3
108,서울,1907-11-17,6.6,.7,11.7,,8.4,6.9
108,서울,1907-11-18,.6,-2.7,6.7,,3.1,2.4
108,서울,1907-11-19,.4,-2.5,4.3,,3.2,1.5
108,서울,1907-11-20,2.7,-1.2,7.1,,7.1,2.3
108,서울,1907-11-21,2.2,-3.5,6.2,,2.8,1.7
108,서울,1907-11-22,8.9,3.2,11.2,0,6.1,5.9
108,서울,1907-11-23,7.7,5.9,9.9,11.9,4.4,4.7
108,서울,1907-11-24,-1.1,-5,5.9,,10.2,7.3
108,서울,1907-11-25,-4.5,-7.3,-.7,,.2,2
108,서울,1907-11-26,-1,-5.7,1.5,.5,4.9,2.5
108,서울,1907-11-27,-1.1,-6.1,1.9,,14.7,4.1
108,서울,1907-11-28,-2.7,-8.5,2,,2.7,1.2
108,서울,1907-11-29,-.2,-4.6,2.9,3.6,4,2.9
108,서울,1907-11-30,-6.6,-8.9,-2.4,,11.4,5.5
108,서울,1907-12-01,-4.6,-10.5,1.4,,5.1,1.7
108,서울,1907-12-02,-3.1,-9,3.4,,2.4,1
108,서울,1907-12-03,1.9,-2.6,6.1,.2,5.8,1.3
108,서울,1907-12-04,-1.2,-2.7,1.3,,5.9,3.3
108,서울,1907-12-05,-1,-6.9,2.6,0,2.3,2.1
108,서울,1907-12-06,-1.3,-6.1,5.8,2.1,5.7,5.8
108,서울,1907-12-07,-4.1,-9.3,1.9,,1.9,1
108,서울,1907-12-08,-1.1,-7.2,6.6,,1.6,1
108,서울,1907-12-09,3.2,-4.3,8.1,2.3,6.6,1.3
108,서울,1907-12-10,-1.4,-5.1,4.3,,6.5,5.3
108,서울,1907-12-11,-2.3,-7.1,.6,0,7.7,1.5
108,서울,1907-12-12,-.1,-3.1,3.8,8.4,6.1,2.1
108,서울,1907-12-13,4,-3.5,9,.7,5.4,2.5
