지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s)
108,서울,1964-01-01,-4.5,-7,-1.2,,5.7,2.6
108,서울,1964-01-02,-3.4,-8,2.7,,5.3,1.4
108,서울,1964-01-03,-2.7,-6.2,1,,6.7,2.1
108,서울,1964-01-04,-4.1,-8.2,.9,,4,1.2
108,서울,1964-01-05,-2.5,-7,2.8,,3.3,1.4
108,서울,1964-01-06,.6,-1.8,4.6,0,6,2.2
108,서울,1964-01-07,-1.8,-5,2.4,,2.8,1
108,서울,1964-01-08,0,-3,2.8,.3,3.7,1.7
108,서울,1964-01-09,1.5,-2.2,6.8,,4.3,1.6
108,서울,1964-01-10,.6,-3.7,6.1,,4,1.6
108,서울,1964-01-11,4.5,1.3,7.2,4.2,8.7,4.4
108,서울,1964-01-12,6.3,4.2,10,12.6,14.3,4.2
108,서울,1964-01-13,3.6,-.3,5.1,.1,6,2.4
108,서울,1964-01-14,.3,-3,4.4,,6,1.7
108,서울,1964-01-15,1.9,-3.3,8,,7,2.2
108,서울,1964-01-16,3.2,1.4,5.4,0,6.7,3.4
108,서울,1964-01-17,1.8,-1.4,4.3,0,4.3,2.1
108,서울,1964-01-18,-2.6,-5.4,-.9,0,9.7,3.9
108,서울,1964-01-19,-5.5,-8.1,-1.9,,6,3.2
108,서울,1964-01-20,-3.4,-7.6,1.5,,6.3,1.9
108,서울,1964-01-21,-2,-5.8,1.8,,4,1.4
108,서울,1964-01-22,0,-2.8,3.7,,6.3,1.9
108,서울,1964-01-23,-.5,-5.3,5.3,,6.3,1.6
108,서울,1964-01-24,.2,-3.3,5.1,,5.7,2.7
108,서울,1964-01-25,-.8,-5.5,5.4,,4,1.4
108,서울,1964-01-26,-.3,-5,5.8,,3.7,1.4
108,서울,1964-01-27,2.8,-2,7.6,,5,2.5
108,서울,1964-01-28,4.6,2.3,7.1,0,5.7,2.7
108,서울,1964-01-29,2.6,1.2,4.1,1.7,9,3.6
108,서울,1964-01-30,0,-3,1.7,1.2,8.3,3.1
108,서울,1964-01-31,-4.3,-5.4,-2.8,.2,8.3,3.9
108,서울,1964-02-01,-5.4,-6.6,-4,.1,4.7,2.4
108,서울,1964-02-02,-6,-9,-2.5,,4.7,2.2
108,서울,1964-02-03,-5.9,-9.4,-1.8,,5,1.8
108,서울,1964-02-04,-4.8,-9.4,.6,,4.7,1.7
108,서울,1964-02-05,-1.7,-6.3,4,,3.5,1.1
108,서울,1964-02-06,-.2,-2.6,1.4,8.5,7,2.5
108,서울,1964-02-07,.5,-2.4,3.2,2.9,6.7,2.8
108,서울,1964-02-08,.8,.2,1.4,8.2,10.3,6.3
108,서울,1964-02-09,.3,-.5,1.6,5.9,10.7,5.4
108,서울,1964-02-10,-.2,-4.4,1.2,1.5,8,3
108,서울,1964-02-11,-8.3,-12,-3.5,0,11.7,5.7
108,서울,1964-02-12,-12.4,-15,-9.2,,9.7,4.2
108,서울,1964-02-13,-11.1,-16.2,-6.4,,5.7,1.7
108,서울,1964-02-14,-7.6,-12.6,-2.6,,5.3,1.8
108,서울,1964-02-15,-5.8,-8.2,-3.2,,3.5,1.5
108,서울,1964-02-16,-4.5,-9.2,0,0,7.7,2.6
108,서울,1964-02-17,-5.4,-8.6,-2.2,,6,2.7
108,서울,1964-02-18,-4.3,-6.8,-.7,,6.3,2
108,서울,1964-02-19,-3.9,-8.4,.2,,6.5,2.2
108,서울,1964-02-20,-4.5,-7.1,-.7,,7.5,2.2
108,서울,1964-02-21,-5.5,-8,-2.9,,9,3.2
108,서울,1964-02-22,-5,-10.2,.6,,5.3,1.6
108,서울,1964-02-23,-3.5,-8.4,2.4,,4.8,1.4
108,서울,1964-02-24,-.3,-5,5.3,,5.5,2.2
108,서울,1964-02-25,.4,-2.2,5.2,0,6,2.1
108,서울,1964-02-26,.7,-4,5.8,,4.7,1.8
108,서울,1964-02-27,.4,-2.9,5,,7,2
108,서울,1964-02-28,.6,-4,5.7,,6,2.4
108,서울,1964-02-29,1.6,-2.7,6.5,,3.7,1.5
108,서울,1964-03-01,3.3,.1,7.7,,5.7,2
108,서울,1964-03-02,4,-.4,9.6,,5,1.6
108,서울,1964-03-03,6.2,2.4,10.2,0,8.7,3.3
108,서울,1964-03-04,5.3,1.9,9.8,,5.7,2.9
108,서울,1964-03-05,4.9,2.5,10,,9,2.7
108,서울,1964-03-06,4.4,-.6,9.6,,4,1.7
108,서울,1964-03-07,4.5,1,9.4,,8.7,3.3
108,서울,1964-03-08,4.1,-.2,10,,7,2
108,서울,1964-03-09,3.6,-1,9.8,,4.3,2.5
108,서울,1964-03-10,4.6,.6,9.6,0,6.3,2.2
108,서울,1964-03-11,4.5,.4,9.4,,6.3,2.8
108,서울,1964-03-12,6.1,1,12.4,,4.8,1.8
108,서울,1964-03-13,5.1,1.5,7.3,0,7.3,3.2
108,서울,1964-03-14,1.5,-1.8,6.4,,8.7,3.9
108,서울,1964-03-15,-1.5,-3.4,0,17.9,11.7,3.6
108,서울,1964-03-16,0,-2.4,2.8,0,7.3,3.7
108,서울,1964-03-17,1.3,-2.2,5.4,,6.3,2.9
108,서울,1964-03-18,3.1,-2.7,8.8,,4.2,1.6
108,서울,1964-03-19,1.4,0,5.2,13,4.7,2.3
108,서울,1964-03-20,2.4,.2,5.2,.7,11.7,3.9
108,서울,1964-03-21,2.1,-1.4,6.2,,7.7,3.7
108,서울,1964-03-22,2.7,-1.6,7.3,,8.7,3.1
108,서울,1964-03-23,3.1,-1.6,8.4,,5.7,2.3
108,서울,1964-03-24,2.1,-.8,5.5,,6.7,2.1
108,서울,1964-03-25,2.2,-1,6.4,,9,3.2
108,서울,1964-03-26,2.8,-1.4,8.4,0,18.7,5.6
108,서울,1964-03-27,2.4,-1.3,6.8,,12.7,3.3
108,서울,1964-03-28,4.2,.4,7.8,2,5.7,2.2
108,서울,1964-03-29,6.6,2.1,13.8,,4.7,2
108,서울,1964-03-30,9.7,3.4,17.7,2.9,14.7,3.5
108,서울,1964-03-31,12.6,9,17,.8,5,1.9
108,서울,1964-04-01,12.6,8.4,17.3,6.7,15,3.7
108,서울,1964-04-02,13.7,7.2,19.3,,10,3.2
108,서울,1964-04-03,15.3,13.8,18,2.4,3.7,1.5
108,서울,1964-04-04,16.4,12.6,22.7,,6,2.1
108,서울,1964-04-05,15.5,12.4,18.2,46,8,3
108,서울,1964-04-06,6.4,2.8,12.4,49.5,17,6.7
108,서울,1964-04-07,4.5,2.4,8.1,,12.7,6.3
108,서울,1964-04-08,5.6,.7,9.8,,10,3.2
108,서울,1964-04-09,11.3,6.9,17.2,,5.3,1.9
108,서울,1964-04-10,12.3,9.6,16.8,1.1,7,2
108,서울,1964-04-11,12.8,7.7,18.9,,5,1.7
108,서울,1964-04-12,14.7,8.8,20.5,,4,2.1
108,서울,1964-04-13,15.3,9.6,21.4,,7,2.1
108,서울,1964-04-14,14.7,9,19.6,5.2,4.7,1.9
108,서울,1964-04-15,15.7,12.4,16.8,37.3,6.3,2.3
108,서울,1964-04-16,12.2,10.4,15.7,16.3,8,4.3
108,서울,1964-04-17,17.8,15.7,20.8,6,12,4.8
108,서울,1964-04-18,16.2,14.6,17.1,14.4,6,1.6
108,서울,1964-04-19,16.6,15.7,17,84.7,4.2,1.7
108,서울,1964-04-20,18.1,14.2,22.7,3.6,8.3,1.9
108,서울,1964-04-21,17.9,13.6,20.6,14.6,10.3,3.3
108,서울,1964-04-22,15.4,12.8,18.6,33.3,6.3,2.4
108,서울,1964-04-23,16.9,13.7,22.8,,8,2.1
108,서울,1964-04-24,18.6,11.8,25.4,,8,2.7
108,서울,1964-04-25,11,8.7,14.8,17.3,8.7,4.2
108,서울,1964-04-26,11.7,8,16.7,,8.7,2.7
108,서울,1964-04-27,14.3,7.2,19.9,,6,1.8
108,서울,1964-04-28,16.5,8.9,23.8,,6.3,2.2
108,서울,1964-04-29,16.9,9.4,23.3,,6.7,2.5
108,서울,1964-04-30,17.3,13.3,23,.4,8.3,3.1
108,서울,1964-05-01,10.7,8.7,13.6,33.2,8.3,4.2
108,서울,1964-05-02,10.4,8.7,12.9,3.2,5.2,2.7
108,서울,1964-05-03,13.9,10,18.5,,4,1.6
108,서울,1964-05-04,16.5,12.3,21.9,,5.3,2.7
108,서울,1964-05-05,16.9,13.4,23,,5.7,2.1
108,서울,1964-05-06,18.8,12.4,25,,3.8,2.2
108,서울,1964-05-07,19.7,13.3,26,,6.7,1.9
108,서울,1964-05-08,20.8,12.8,27.8,,5,1.7
108,서울,1964-05-09,19.8,13.8,27.5,,5.8,1.7
108,서울,1964-05-10,15.7,13.1,21,5,4.7,2
108,서울,1964-05-11,15.2,10.8,21.3,,5.7,3.1
108,서울,1964-05-12,16.1,9.2,22.8,,5,2.3
108,서울,1964-05-13,16.9,10,23.7,,6.3,2.3
108,서울,1964-05-14,18.5,12,25.9,,6.3,2.1
108,서울,1964-05-15,21.1,13.7,28.5,,7.3,2.1
108,서울,1964-05-16,22.6,13.6,29.2,,3.7,1.5
108,서울,1964-05-17,19.2,16.5,23.3,.5,5.3,1.5
108,서울,1964-05-18,19.6,16.1,23.3,0,6.7,3.9
108,서울,1964-05-19,22,17.1,27.9,,9,3.1
108,서울,1964-05-20,22.7,19.4,28.1,0,5.7,2.3
108,서울,1964-05-21,21.9,19.2,27,7.1,4.7,1.7
108,서울,1964-05-22,18.7,16.7,21.4,34.3,6.3,1.9
108,서울,1964-05-23,17.6,15.8,21.6,0,6.7,2
108,서울,1964-05-24,19,15.2,25,,5.2,2.4
108,서울,1964-05-25,19.8,13.4,25.3,,7.2,2.3
108,서울,1964-05-26,21.4,14.1,27.4,,5,1.7
108,서울,1964-05-27,19.6,15.5,25,,6.8,2
108,서울,1964-05-28,19.2,14,24.9,,4.7,2.4
108,서울,1964-05-29,19.5,14.3,25.4,,8,2.2
108,서울,1964-05-30,20.3,14.9,26.6,,5,2.2
108,서울,1964-05-31,22.1,16,28.9,,7.7,1.9
108,서울,1964-06-01,20,16.8,24.8,1,6,1.5
108,서울,1964-06-02,16.7,15.7,19.9,34.7,6,2.5
108,서울,1964-06-03,15.8,14,17.8,3.3,5,2.6
108,서울,1964-06-04,18.8,13.8,24.2,,6,2.5
108,서울,1964-06-05,19.3,14.4,24.4,.3,7.3,2.9
108,서울,1964-06-06,20,15.9,26.4,,6.3,1.9
108,서울,1964-06-07,21.2,18.3,26.2,,7.7,2.3
108,서울,1964-06-08,20.7,17.9,22.9,.7,8,2.6
108,서울,1964-06-09,21.8,17.5,27.7,,5,1.8
108,서울,1964-06-10,19.3,17.7,22.4,.2,8.3,1.9
108,서울,1964-06-11,21.1,17.7,27.2,12,6,1.9
108,서울,1964-06-12,22.2,16.7,27.8,,4.3,1.5
108,서울,1964-06-13,21.2,16.7,26.3,,4.3,2
108,서울,1964-06-14,18.4,15,20.8,34.4,4.7,2.2
108,서울,1964-06-15,18.2,15.8,22.6,.9,5.7,1.8
108,서울,1964-06-16,20.1,16.2,24.6,,6,1.8
108,서울,1964-06-17,22.6,16.9,28.8,,6.2,1.7
108,서울,1964-06-18,24,18.5,29.4,,7.7,1.9
108,서울,1964-06-19,21.4,19.8,24.2,1.6,3.7,1.5
108,서울,1964-06-20,20.2,18,23.3,.1,8,2.6
108,서울,1964-06-21,21.5,18.4,26.2,,5.7,2.4
108,서울,1964-06-22,21.9,18.4,26.6,,6.3,2.4
108,서울,1964-06-23,22.4,17.3,29.1,,6,2
108,서울,1964-06-24,23.7,17.8,30,,8,2.2
108,서울,1964-06-25,23.5,18.2,29.5,,5.7,2.2
108,서울,1964-06-26,24.5,18.8,31.2,,6,1.8
108,서울,1964-06-27,25.9,21.2,32.4,,5.7,1.9
108,서울,1964-06-28,26.4,21,33.4,16.5,6,2
108,서울,1964-06-29,26.9,21.2,32.8,,7,1.7
108,서울,1964-06-30,26.9,22,33,6.8,8.3,1.8
108,서울,1964-07-01,23.4,22.7,24.4,86.5,7,3.8
108,서울,1964-07-02,23.2,22.6,24,46.7,8.7,3.9
108,서울,1964-07-03,23,22.2,25.6,16.5,6.3,2.7
108,서울,1964-07-04,25.4,22.9,29.8,0,6,2.1
108,서울,1964-07-05,23.6,21.7,26.2,27.8,6.3,2.8
108,서울,1964-07-06,24.4,23.2,26.2,0,5.3,2.4
108,서울,1964-07-07,24.4,23.4,26.1,15.5,5,1.8
108,서울,1964-07-08,23.9,22.8,25.5,18.5,6.3,3
108,서울,1964-07-09,22,20.6,24.6,.1,4.7,1.4
108,서울,1964-07-10,23.8,20.8,28.8,0,5,1.7
108,서울,1964-07-11,25.4,22,30.1,14,3.7,1
108,서울,1964-07-12,24.7,21.7,30.4,56.9,5.7,2
108,서울,1964-07-13,24.7,22.1,27.3,3.6,7.3,1.5
108,서울,1964-07-14,23.7,20.9,25.9,89.4,10.7,3.3
108,서울,1964-07-15,23.7,20,29,0,5.7,2
108,서울,1964-07-16,24.2,21.8,27.9,,5,1.5
108,서울,1964-07-17,22.8,22.1,24.2,41.8,5,2
108,서울,1964-07-18,24.1,20.8,29,20.5,6.7,1.4
108,서울,1964-07-19,23.7,19.6,28.6,,6,3
108,서울,1964-07-20,23.9,19.3,28.9,,5,1.8
108,서울,1964-07-21,23.8,20,28.7,,3.3,1.7
108,서울,1964-07-22,25.3,21.4,29,.5,8.7,2.5
108,서울,1964-07-23,23.9,22.9,25,27,10.7,2.7
108,서울,1964-07-24,24.8,21.8,29.8,.1,4.7,1.8
108,서울,1964-07-25,26.1,19,32.1,,5,1.5
108,서울,1964-07-26,27.5,24.3,32.4,,4.7,1.4
108,서울,1964-07-27,28,24,33.2,,4.7,1.6
108,서울,1964-07-28,28.8,24,33.6,0,5.6,1.2
108,서울,1964-07-29,27.1,24.4,30.8,6,11,4
108,서울,1964-07-30,24.6,22.7,28.6,33.1,5.7,2.1
108,서울,1964-07-31,26.7,23.7,30.8,,5,2
108,서울,1964-08-01,29.3,23.6,34.5,,4.3,1.7
108,서울,1964-08-02,29.8,25.3,34.4,,9,5.1
108,서울,1964-08-03,28.3,25.4,30.8,.4,8.3,3.8
108,서울,1964-08-04,27.8,25.3,31.8,0,5.3,1.8
108,서울,1964-08-05,27.8,25.4,32.2,.2,5.3,2.2
108,서울,1964-08-06,26.8,25.6,29.5,5,9,3.1
108,서울,1964-08-07,25.7,24.1,26.8,34.1,9.3,3.6
108,서울,1964-08-08,24.9,23,27.6,25,9.8,3.5
108,서울,1964-08-09,24.9,23.6,28.2,26.7,3.8,1.2
108,서울,1964-08-10,26,24.5,29.6,7.6,9,3.5
108,서울,1964-08-11,24.5,22.5,26.2,52.6,8.7,4.3
108,서울,1964-08-12,26.8,24.2,31,2,6,2.6
108,서울,1964-08-13,27.1,22.6,33,,6.3,2.1
108,서울,1964-08-14,26.7,23.9,31.2,,8,2.3
108,서울,1964-08-15,26.4,24.2,30,,6.7,2.6
108,서울,1964-08-16,25.4,23.6,27.4,.1,3.5,1.7
108,서울,1964-08-17,29.3,24.4,34.4,,5.3,1.7
108,서울,1964-08-18,29.5,25.6,33.7,,5.7,3.2
108,서울,1964-08-19,28.3,24.6,34.2,,8.3,3
108,서울,1964-08-20,25.9,21.6,30.9,14.2,7,2
108,서울,1964-08-21,27,22.2,32,,4.3,1.6
108,서울,1964-08-22,27.8,23.2,32.9,,6.7,3.3
108,서울,1964-08-23,26.5,24.1,31,,13.3,5.3
108,서울,1964-08-24,23.1,21.4,24.4,.7,8.3,2.7
108,서울,1964-08-25,24.4,20.9,29.3,,7.7,2.3
108,서울,1964-08-26,24.2,20.4,29.8,,4,1.6
108,서울,1964-08-27,23.5,19.9,29.2,8.9,4,1.1
108,서울,1964-08-28,25,21.5,29.3,0,2.8,1.3
108,서울,1964-08-29,25.7,22.4,30.3,2.8,3.7,1.6
108,서울,1964-08-30,25.9,22.7,30.5,,3.7,1.7
108,서울,1964-08-31,21.1,19.2,24.8,40,5.3,2.4
108,서울,1964-09-01,22.9,20.8,24.8,3.2,3.7,1.9
108,서울,1964-09-02,22.9,22.3,23.9,12.5,5,2
108,서울,1964-09-03,22.6,20.7,26.8,2.2,3.7,1.6
108,서울,1964-09-04,23.7,22.6,24.8,116.6,5.7,2.2
108,서울,1964-09-05,24.1,21.2,29.3,,4.3,1.8
108,서울,1964-09-06,23.7,20.5,28,,4,1.3
108,서울,1964-09-07,24.9,20,30,,2.7,1.1
108,서울,1964-09-08,20.8,18.6,22.1,40.6,5.7,2
108,서울,1964-09-09,21.7,18.5,26.6,.2,5,1.8
108,서울,1964-09-10,22.9,18.5,28.1,,4.7,1.5
108,서울,1964-09-11,23.5,17.8,28.8,,2.8,1.3
108,서울,1964-09-12,22.9,18.8,27.3,3.1,8.7,2.3
108,서울,1964-09-13,23.1,21.7,26.2,126,16.7,2.4
108,서울,1964-09-14,19,18.4,21.7,22.2,6,1.7
108,서울,1964-09-15,19.2,16.1,22,0,5.7,1.1
108,서울,1964-09-16,18.5,14.5,25.1,,3,.7
108,서울,1964-09-17,18.4,13.5,24.4,1.5,6,1.8
108,서울,1964-09-18,16.6,14.3,18.2,33.6,12,4.2
108,서울,1964-09-19,18.9,16.1,22.4,.8,7.3,3.6
108,서울,1964-09-20,18.9,15.4,23.3,,5.5,2.1
108,서울,1964-09-21,18.9,15.1,24,,4.3,1
108,서울,1964-09-22,17.8,12.6,23.6,,2.4,1.3
108,서울,1964-09-23,18.9,13.1,25,,6,2.9
108,서울,1964-09-24,19.2,13,24.4,,5,2
108,서울,1964-09-25,18.6,12,24.7,,5,1.8
108,서울,1964-09-26,18.9,14.3,23.3,10,6,2.3
108,서울,1964-09-27,14.9,13.2,18.6,6.4,10.3,4.2
108,서울,1964-09-28,16.8,12.7,22.2,0,4.7,1.7
108,서울,1964-09-29,17,11,23,,5,1.7
108,서울,1964-09-30,17.9,11.2,24.4,,4,1.6
108,서울,1964-10-01,19,12,25.9,,2.3,.8
108,서울,1964-10-02,17.8,14.2,20.8,0,3.3,1.6
108,서울,1964-10-03,18.4,16.2,22.2,,2.7,1.1
108,서울,1964-10-04,17.1,14,21.4,6,4.7,1.4
108,서울,1964-10-05,16.3,13.4,20.6,23.7,6,2.8
108,서울,1964-10-06,14.9,11.9,19.9,,2.7,1.1
108,서울,1964-10-07,14.7,10,20.4,,3.7,1.2
108,서울,1964-10-08,13.7,10.3,18.7,,5,1.9
108,서울,1964-10-09,12.3,6.8,17.9,,5.8,1.4
108,서울,1964-10-10,12.1,5.2,19.2,,3.7,1.7
108,서울,1964-10-11,14.3,6.3,22,,3,1.3
108,서울,1964-10-12,16.8,11.2,22.7,,2.7,1.1
108,서울,1964-10-13,16.7,14.6,19.9,0,2.2,.7
108,서울,1964-10-14,17.9,11.9,25.2,,3.3,1.1
108,서울,1964-10-15,19.1,13.9,25.1,,3,1.2
108,서울,1964-10-16,17.9,14.2,24.2,1.6,3.3,1.4
108,서울,1964-10-17,15.2,11.7,20.1,.5,4,2.2
108,서울,1964-10-18,14.5,10.4,19.8,,3.3,1.6
108,서울,1964-10-19,13.7,11,17.5,,4,1.7
108,서울,1964-10-20,12.3,11.8,13.7,8.6,3.3,1.3
108,서울,1964-10-21,12,9,16.9,,3.7,1.1
108,서울,1964-10-22,11.6,8.8,17.4,,2.3,.9
108,서울,1964-10-23,9.7,4.6,13.2,,4,1.3
108,서울,1964-10-24,7.7,2,13.7,,4,1.6
108,서울,1964-10-25,7.7,1.1,14,,2.3,.8
108,서울,1964-10-26,10,1.8,18.5,,2.3,.9
108,서울,1964-10-27,11.8,4.8,19.7,,4,.8
108,서울,1964-10-28,13.1,7.7,19.4,,4,1.4
108,서울,1964-10-29,11,6.3,17.1,,4,1.4
108,서울,1964-10-30,9.4,4.2,15.3,,3.3,1.1
108,서울,1964-10-31,10.4,5.7,14.2,.2,3.7,1.3
108,서울,1964-11-01,9.8,4.5,13.4,3.5,7.3,2.8
108,서울,1964-11-02,7.5,1.9,13.6,,4,1.2
108,서울,1964-11-03,8.8,3.3,14.5,,3,1.3
108,서울,1964-11-04,10.2,7.2,14.4,.6,2.5,.9
108,서울,1964-11-05,10.4,6.2,14.8,1.8,4.3,1.1
108,서울,1964-11-06,7.3,3.3,12.2,,1.7,.7
108,서울,1964-11-07,8,4.2,13.2,,1.7,.3
108,서울,1964-11-08,8.5,2.3,14.8,,2,.5
108,서울,1964-11-09,10.7,8.3,15,0,1.8,.4
108,서울,1964-11-10,10.1,6.6,15.6,1.2,2,.4
108,서울,1964-11-11,6.4,4.6,8.6,17.9,2.2,.6
108,서울,1964-11-12,2.9,-.2,6.6,,5.7,1.4
108,서울,1964-11-13,1.6,-.7,5.1,.2,5.7,2
108,서울,1964-11-14,2.3,-.8,6.3,,7.7,3.7
108,서울,1964-11-15,3.8,0,9.7,,4.2,1.3
108,서울,1964-11-16,4.4,-1,10.8,,3.5,1.4
108,서울,1964-11-17,4.9,-1,11.6,,4,1.6
108,서울,1964-11-18,5.9,.5,11.3,0,4.3,2.1
108,서울,1964-11-19,4,-.2,8.1,,5,2.5
108,서울,1964-11-20,7.3,1,13.3,0,8.3,3.2
108,서울,1964-11-21,6.5,-.3,10.6,,6.7,4.4
108,서울,1964-11-22,2.3,-3.2,8.6,0,4.3,2
108,서울,1964-11-23,9.2,6.9,11.9,0,8.2,4.3
108,서울,1964-11-24,2.9,-.5,6.9,,5.7,3.2
108,서울,1964-11-25,1.2,-3.2,4.2,,3.3,1.6
108,서울,1964-11-26,6.8,2,11.8,,2.7,1.4
108,서울,1964-11-27,8.4,4,13.2,,4,1.7
108,서울,1964-11-28,9.9,7.1,15.4,0,5,1.9
108,서울,1964-11-29,7.8,5.3,10.5,0,5,1.9
108,서울,1964-11-30,-.3,-6,5.3,,7.3,4.7
108,서울,1964-12-01,-6.6,-9,-3.4,,7.3,3.5
108,서울,1964-12-02,-5.2,-9.4,-.5,,5.3,2.6
108,서울,1964-12-03,-3,-6.6,1.2,,3.3,1.8
108,서울,1964-12-04,-1.7,-7.2,4.2,,4.3,1.8
108,서울,1964-12-05,2.9,-1,6.6,1.8,7.7,2.9
108,서울,1964-12-06,.8,-3.4,6.1,0,7.7,4.2
108,서울,1964-12-07,-1.8,-5.4,2.2,0,2.8,1.5
108,서울,1964-12-08,2.9,-2.6,8.2,,4.7,1.9
108,서울,1964-12-09,2.4,-.8,6.2,,5,2.1
108,서울,1964-12-10,-1,-3.4,2.2,,3.7,2.1
108,서울,1964-12-11,-5.3,-8.7,-1.7,,9.3,4.2
108,서울,1964-12-12,-6.9,-10.6,-2.6,,4,1.9
108,서울,1964-12-13,-3.8,-7.7,.1,0,4.3,2.5
108,서울,1964-12-14,-.1,-4,4.8,0,4,1.9
108,서울,1964-12-15,.1,-2.2,3.6,0,5,2.3
