지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s)
108,서울,1954-01-01,-2.4,-7.8,4,,2.8,1.3
108,서울,1954-01-02,-1.5,-6.3,2,0,1.8,1.1
108,서울,1954-01-03,.7,-2.6,3.9,,3.7,1.7
108,서울,1954-01-04,1,-4,6.6,,4.3,1.4
108,서울,1954-01-05,.4,-2.8,3.9,.1,5.7,2.7
108,서울,1954-01-06,-2.2,-5.9,1.3,.2,2.8,1.3
108,서울,1954-01-07,-1.4,-5.8,3.4,,2.8,1.1
108,서울,1954-01-08,-.5,-6.2,2.9,.1,3.2,1.5
108,서울,1954-01-09,2.2,.2,3.8,4.3,3.2,1.3
108,서울,1954-01-10,-1.8,-6.3,1.4,,7.2,4.4
108,서울,1954-01-11,-5.1,-9.5,-1.5,,4.5,1.8
108,서울,1954-01-12,-1.4,-8.6,4.8,,2.8,1
108,서울,1954-01-13,.3,-2.2,4.6,.1,4.5,1.5
108,서울,1954-01-14,.8,-2,2.2,5.1,4,1.2
108,서울,1954-01-15,0,-1.8,2.8,,3.3,1.1
108,서울,1954-01-16,.6,-1.6,2.4,0,2.8,1.5
108,서울,1954-01-17,1.3,-4,6.9,,3.4,1.2
108,서울,1954-01-18,1.4,-2.2,4.8,,3.5,1.5
108,서울,1954-01-19,1.5,-1.3,5.8,,4.2,1.8
108,서울,1954-01-20,4.7,-1.5,10.7,.6,3.5,1.7
108,서울,1954-01-21,2.8,.5,5.5,1.1,3.5,3.2
108,서울,1954-01-22,-2.1,-6.4,1.6,,8.2,3.7
108,서울,1954-01-23,-6,-9.1,-2.6,,6.7,3.8
108,서울,1954-01-24,-7.1,-9.8,-3.4,,6.9,4.1
108,서울,1954-01-25,-8.4,-11.7,-5,,7,3
108,서울,1954-01-26,-5.4,-11.9,-.3,,4.2,1.2
108,서울,1954-01-27,-1.1,-5.6,3.4,.8,9,3.1
108,서울,1954-01-28,-5.8,-8.6,-2.1,,8.5,4.7
108,서울,1954-01-29,-5.4,-10.6,-.4,,6,2.4
108,서울,1954-01-30,-3.6,-10,3.6,,3.3,1.5
108,서울,1954-01-31,-3.3,-6.2,-.2,1.6,7.2,3.1
108,서울,1954-02-01,-5,-8.2,-.6,4.9,5.2,2.1
108,서울,1954-02-02,-8.1,-12.3,-3.2,,5.5,2.6
108,서울,1954-02-03,-7.6,-13.9,-1.5,,4.8,1.4
108,서울,1954-02-04,-6.3,-12,0,,3.7,1.5
108,서울,1954-02-05,-5.6,-11.5,-.2,,5.3,1.5
108,서울,1954-02-06,-5.1,-10.6,-.5,,6.5,2.7
108,서울,1954-02-07,-3.2,-10.8,3,,4.8,1.8
108,서울,1954-02-08,.1,-7.1,6.2,,5.5,2.1
108,서울,1954-02-09,1.5,-5.1,8.1,,6.3,2.4
108,서울,1954-02-10,4.8,-1.7,9.9,,3.7,2
108,서울,1954-02-11,7.1,5,8.6,4.9,7.8,2.6
108,서울,1954-02-12,.1,-4.3,5.7,,5.7,3.4
108,서울,1954-02-13,1.3,-4.3,6.3,4.1,6.3,2
108,서울,1954-02-14,5,1.2,10.5,0,6.2,2.8
108,서울,1954-02-15,3.5,1.4,6.1,,4.3,1.2
108,서울,1954-02-16,7.3,2.5,11,.1,6,2.7
108,서울,1954-02-17,1.7,-3.4,6.6,.1,8.2,2.8
108,서울,1954-02-18,-4.7,-8,-.4,,8.1,4.8
108,서울,1954-02-19,-2.4,-9.5,3.8,,7,2.6
108,서울,1954-02-20,.4,-3.7,5.6,,7.3,3.6
108,서울,1954-02-21,-3.8,-7.1,-.4,,8.3,3.4
108,서울,1954-02-22,-2.7,-9.2,2.9,,5,1.6
108,서울,1954-02-23,1.9,-2.6,7,,6.4,2.1
108,서울,1954-02-24,5.3,-3.2,12.2,,6.3,2.3
108,서울,1954-02-25,8.8,5.9,10.8,45.2,9,3.9
108,서울,1954-02-26,7.7,5.6,10,3,9.8,3.7
108,서울,1954-02-27,6,3.4,7.8,49,11.8,4.9
108,서울,1954-02-28,4.3,2,6.4,0,5.3,2.1
108,서울,1954-03-01,5.4,3.2,7.2,,4,1.8
108,서울,1954-03-02,4.2,.4,9.4,,7.3,3
108,서울,1954-03-03,-.1,-2.6,4,,6.8,3.5
108,서울,1954-03-04,0,-3.6,4.6,,6.5,3.1
108,서울,1954-03-05,-1,-4.9,4.4,,10,3.1
108,서울,1954-03-06,-2.9,-6.8,1.2,,7.3,3.7
108,서울,1954-03-07,-2.8,-7.4,1.9,,5.9,2.4
108,서울,1954-03-08,.6,-4.8,5.8,,6.7,2.1
108,서울,1954-03-09,1.9,-1.1,6.8,0,5.8,2.2
108,서울,1954-03-10,5.1,-.3,10.4,,3.3,1.1
108,서울,1954-03-11,5,-.1,11.5,,12.3,4
108,서울,1954-03-12,-4,-6.6,.2,,10.2,5.2
108,서울,1954-03-13,-3.3,-7.8,2,,7,2.3
108,서울,1954-03-14,.9,-3.2,6,0,13.3,3.6
108,서울,1954-03-15,.8,-3.8,5.8,,9.5,3.8
108,서울,1954-03-16,2.2,-3,8,,8,2.4
108,서울,1954-03-17,4.2,-2.5,11.3,,6.5,2.1
108,서울,1954-03-18,6.2,-1.6,13.9,,7.3,2.4
108,서울,1954-03-19,2.1,-1.2,8.8,4.9,12,5.6
108,서울,1954-03-20,.1,-2.8,3.1,,11,5.1
108,서울,1954-03-21,1.1,-3.6,6.7,,8.5,4.1
108,서울,1954-03-22,1.8,-3.6,8.2,,7,2.9
108,서울,1954-03-23,4,-1.6,10.9,,8,2.8
108,서울,1954-03-24,6.4,1.1,12.8,,5,1.8
108,서울,1954-03-25,9.3,.7,17,,5.3,1.6
108,서울,1954-03-26,12.2,3.9,18.2,0,15,3.5
108,서울,1954-03-27,10.2,8,13.2,0,9.7,1.9
108,서울,1954-03-28,7.4,3.4,12,,11.5,4.4
108,서울,1954-03-29,5.2,.3,11.3,,9.3,3
108,서울,1954-03-30,6.5,.6,12.2,,8.3,2.9
108,서울,1954-03-31,8.9,.8,16.3,,9.2,3.1
108,서울,1954-04-01,12.2,5.7,20.2,,5.7,3
108,서울,1954-04-02,11.3,5.5,19.5,,8,2.6
108,서울,1954-04-03,11.6,5.6,19.9,,5.3,1.8
108,서울,1954-04-04,13.9,7.4,22.3,,5.8,2.1
108,서울,1954-04-05,15.4,11.6,22.4,,5.8,2.2
108,서울,1954-04-06,13.6,7.6,21.6,,8.2,3
108,서울,1954-04-07,8,6.1,11.8,2.3,6.3,2.3
108,서울,1954-04-08,9.5,5.4,15.7,,7.1,2.9
108,서울,1954-04-09,10.5,3.4,19,,6.5,1.9
108,서울,1954-04-10,11.4,4.8,20.2,,9.3,2.6
108,서울,1954-04-11,10.6,6.2,15.6,6.1,14.5,4
108,서울,1954-04-12,9.6,7,13.6,12.1,13.5,6.3
108,서울,1954-04-13,10.1,4.4,17.9,,9,2.7
108,서울,1954-04-14,12.3,6.2,20.2,,6,2.1
108,서울,1954-04-15,13.8,7.8,20.6,,5.3,2.1
108,서울,1954-04-16,18.6,10.3,26.8,,7.3,2.1
108,서울,1954-04-17,14.1,11.2,17.8,28,7,2.6
108,서울,1954-04-18,10.6,6.7,15.4,,15.3,5
108,서울,1954-04-19,7.9,5.2,11.9,,25,6.5
108,서울,1954-04-20,7.7,3.2,13.3,,13.2,4.3
108,서울,1954-04-21,8.9,3,15.1,,9,3.3
108,서울,1954-04-22,9.7,4.2,17,,5,2.3
108,서울,1954-04-23,12.4,3.7,21.2,,6.1,2
108,서울,1954-04-24,13.9,9.2,19.4,,4.3,1.9
108,서울,1954-04-25,14.6,10.4,20.2,,8.7,2.8
108,서울,1954-04-26,12.8,9.1,17.8,,7.3,3.8
108,서울,1954-04-27,11,5,18.6,,8,2.6
108,서울,1954-04-28,11.9,6.8,18,,12.5,4.1
108,서울,1954-04-29,14.7,9.1,21.2,0,5.4,2.2
108,서울,1954-04-30,12.5,10,18,10.9,7.5,2.4
108,서울,1954-05-01,12.1,9.8,14.2,6.6,5.3,2.2
108,서울,1954-05-02,10.7,8.8,14,0,8.2,3.3
108,서울,1954-05-03,11.3,9.6,17.6,1.2,9,2.5
108,서울,1954-05-04,12.3,8.4,19.4,,9.3,4.2
108,서울,1954-05-05,14.2,8.3,20.8,,6,2.1
108,서울,1954-05-06,17.5,10.3,25.3,,6,1.8
108,서울,1954-05-07,18,13.1,26.1,,8.2,2.4
108,서울,1954-05-08,20.1,13.7,27.9,1.1,6,2
108,서울,1954-05-09,15.2,11.4,19.6,6.9,13.4,4.6
108,서울,1954-05-10,14.1,9.6,20.1,,9.2,3.5
108,서울,1954-05-11,15.1,9.1,21.4,,9.5,3.2
108,서울,1954-05-12,17.8,10,25.5,,4.3,1.6
108,서울,1954-05-13,17.2,15.3,24,34.4,6.7,2.5
108,서울,1954-05-14,15.9,12.2,19.9,3.5,8.8,3.5
108,서울,1954-05-15,15,10.1,20.7,,6,2.5
108,서울,1954-05-16,15.6,10.8,22.4,,9,2.4
108,서울,1954-05-17,14.4,7.8,22.2,,6.7,2.3
108,서울,1954-05-18,16.1,10.5,23.2,,7.7,2.6
108,서울,1954-05-19,19.1,12.5,26.6,,5.7,1.7
108,서울,1954-05-20,21.3,15.1,28.6,,5.5,1.9
108,서울,1954-05-21,20.5,16.3,26.7,0,7,3.3
108,서울,1954-05-22,18.7,14.8,25.6,,6.3,2.7
108,서울,1954-05-23,17,13.8,22.5,0,5.5,1.8
108,서울,1954-05-24,17.5,14.8,22,.9,5.7,2.4
108,서울,1954-05-25,16.6,11.3,24.1,,8.5,2.8
108,서울,1954-05-26,18.1,9.8,26.4,,5.7,1.9
108,서울,1954-05-27,18.8,13.8,24.8,,5,2
108,서울,1954-05-28,17.9,13.1,25.4,,8,3
108,서울,1954-05-29,18.5,14.1,25.8,0,5.7,2.9
108,서울,1954-05-30,18.7,13.9,26.8,6.9,7.8,2.7
108,서울,1954-05-31,18.2,11.9,25,,3.2,1.8
108,서울,1954-06-01,16.2,13.1,19.5,10.7,6.3,2.3
108,서울,1954-06-02,14.6,12.6,17.3,12.9,6.7,3
108,서울,1954-06-03,16.2,13.4,20.4,,6.7,4
108,서울,1954-06-04,18.8,14.7,24.7,0,4.8,1.8
108,서울,1954-06-05,17.7,13.9,22.4,24.3,9.5,3.5
108,서울,1954-06-06,16.3,13.8,20.5,43.7,9.7,5.8
108,서울,1954-06-07,18.8,13,24.3,0,7,2.1
108,서울,1954-06-08,18,15.4,21,.6,6.7,3.2
108,서울,1954-06-09,17.8,14.2,22.4,,6.7,4.7
108,서울,1954-06-10,16.8,14.2,20,2.8,4.5,2.4
108,서울,1954-06-11,15.9,14.4,19,0,7.3,3.4
108,서울,1954-06-12,19.4,15.1,26.7,,5,1.9
108,서울,1954-06-13,20.6,16,25.3,0,2.7,1.1
108,서울,1954-06-14,20.2,15.8,26.5,27.1,9,2
108,서울,1954-06-15,19.2,15.6,26.6,,5.3,2.8
108,서울,1954-06-16,21.4,15,27.6,,4.2,1.6
108,서울,1954-06-17,23.3,17.2,29.9,,5.7,1.7
108,서울,1954-06-18,23.6,19.5,28.4,0,2.8,1.6
108,서울,1954-06-19,21.3,17.9,26.6,48.8,4.3,2.3
108,서울,1954-06-20,20.1,16.6,26.7,.3,6.7,2.1
108,서울,1954-06-21,21.4,16.1,27.2,,7,1.9
108,서울,1954-06-22,22.8,18.3,29.2,,7.7,3.7
108,서울,1954-06-23,23.1,17.5,29.7,,4.7,3.4
108,서울,1954-06-24,22.1,16.9,28.3,,4.3,2.5
108,서울,1954-06-25,22.3,18.8,27.6,0,4.3,2
108,서울,1954-06-26,20.1,17.6,23.6,.4,7.2,3.7
108,서울,1954-06-27,22.7,16,30.4,,6.3,2.4
108,서울,1954-06-28,20,18.2,23.2,1.8,5.7,3.5
108,서울,1954-06-29,18.2,15.5,20.1,53.6,8,4.6
108,서울,1954-06-30,19.1,15.1,23.8,2.9,6,3.5
108,서울,1954-07-01,21.4,17.8,25.4,1.3,5.3,2
108,서울,1954-07-02,20.3,19,23,4.2,6,2.6
108,서울,1954-07-03,23.2,18.8,28.7,,3.3,1.3
108,서울,1954-07-04,22.2,18.4,25.8,26.1,9.8,3.7
108,서울,1954-07-05,19.7,18.1,21,16.2,7.7,4
108,서울,1954-07-06,21.8,18.6,25.9,0,6.2,3.1
108,서울,1954-07-07,18.2,16.7,20.7,36.6,10.3,4.9
108,서울,1954-07-08,17.9,16.9,20.8,9.5,10.5,5.4
108,서울,1954-07-09,19.9,17.1,25.1,3.4,5.8,3.2
108,서울,1954-07-10,21.6,18.6,29.1,24.3,6.2,1.9
108,서울,1954-07-11,20.7,16,26.5,,8.3,4.9
108,서울,1954-07-12,19.8,13.8,26.9,,6.2,3.5
108,서울,1954-07-13,20.6,13.6,27.6,,4.4,2.1
108,서울,1954-07-14,22.6,17.2,30.3,,5.3,1.8
108,서울,1954-07-15,23.4,19.5,28.1,,3.3,1.8
108,서울,1954-07-16,24.7,20.6,31.9,33.1,7.3,1.4
108,서울,1954-07-17,21.1,19.2,22.8,20,10.3,5
108,서울,1954-07-18,21.1,19.5,24.2,3.4,5.7,2.8
108,서울,1954-07-19,21,19.3,24.5,5.5,7.7,2.6
108,서울,1954-07-20,25.1,19.3,31.4,4.9,3.5,1.6
108,서울,1954-07-21,23.2,22,24.2,63.8,6.2,3.7
108,서울,1954-07-22,22.6,21.8,23.6,14.2,5,2.8
108,서울,1954-07-23,22.6,22,23.9,44.7,6.3,3.3
108,서울,1954-07-24,23.7,22,26.9,75.8,5,2.5
108,서울,1954-07-25,23.1,20.7,27.5,20.7,5.8,1.8
108,서울,1954-07-26,23.4,21,27.1,1.4,4.7,3
108,서울,1954-07-27,24.4,20.9,29.5,0,3.7,1.6
108,서울,1954-07-28,23,20.8,28.3,126,7,2.6
108,서울,1954-07-29,23,19.9,27.5,1.7,4.2,2.4
108,서울,1954-07-30,22.3,19.1,27.4,.7,6.3,4.1
108,서울,1954-07-31,22.5,18.6,27.5,,8.7,3.7
108,서울,1954-08-01,21.9,16.9,26.8,,5.7,3
108,서울,1954-08-02,19.6,18,21.2,8.7,4.2,3.2
108,서울,1954-08-03,22.6,20,25.2,27.8,5.2,1.9
108,서울,1954-08-04,24.7,22.8,28.1,4.8,7,2.4
108,서울,1954-08-05,26.3,22,32.5,,2.8,1.3
108,서울,1954-08-06,26.6,23,31.7,,4,1.5
108,서울,1954-08-07,27.2,23.8,32.8,,5,1.8
108,서울,1954-08-08,25.3,21.4,31,,4.2,1.8
108,서울,1954-08-09,26.7,23.5,32.2,,3.5,1.2
108,서울,1954-08-10,28,23.1,34.3,,5,2
108,서울,1954-08-11,26.3,24.3,29,14.9,8.5,3
108,서울,1954-08-12,27.2,24.6,32,,4.9,2.3
108,서울,1954-08-13,28.1,25,33,,5.7,2.1
108,서울,1954-08-14,27.5,24.2,32.9,3.6,5.6,2.7
108,서울,1954-08-15,27.2,24.4,31.4,27.5,3.3,1.2
108,서울,1954-08-16,28.2,24.6,33.6,,4,1.6
108,서울,1954-08-17,28.4,24.1,33.8,,6.3,2.5
108,서울,1954-08-18,26.7,23,31.8,,6.5,4.1
108,서울,1954-08-19,25.6,21.3,30.7,0,5.2,3.2
108,서울,1954-08-20,24.3,21.7,27.3,0,6.8,4.3
108,서울,1954-08-21,24.9,23.4,30.1,53.6,5.5,1.9
108,서울,1954-08-22,27.1,24.2,32.4,12.9,9.2,2
108,서울,1954-08-23,25.1,24.5,29.7,9.7,10.1,2.1
108,서울,1954-08-24,27.7,23.7,33.2,,2,.9
108,서울,1954-08-25,26.7,24.6,31.1,1,9.4,2.8
