지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s)
108,서울,1944-01-01,-8.3,-11.6,-5,,4.7,2.8
108,서울,1944-01-02,-8,-13.3,-4,,3.3,1.5
108,서울,1944-01-03,-5.4,-12.2,.5,,3.8,1.7
108,서울,1944-01-04,-3.7,-7.7,-1.4,2.3,3.2,1.2
108,서울,1944-01-05,-10.4,-13,-2.2,1.7,6.3,4.6
108,서울,1944-01-06,-10.1,-16.2,-4.6,,6,2.3
108,서울,1944-01-07,-7.5,-13.6,-2.9,,4.8,2.6
108,서울,1944-01-08,-5.3,-12.3,-1.2,,1.8,1
108,서울,1944-01-09,-1,-5.3,2.1,0,2.7,1.2
108,서울,1944-01-10,-3.8,-7.2,.2,0,6.5,4.9
108,서울,1944-01-11,-5.1,-11.9,-1.6,,4.5,1.6
108,서울,1944-01-12,-1.8,-5.3,3.9,,3.7,1.7
108,서울,1944-01-13,-2.4,-8.9,4.5,,4.3,1.6
108,서울,1944-01-14,-.4,-5,3.2,,4.7,2.4
108,서울,1944-01-15,-6.2,-8.8,-2.5,,6.3,2.9
108,서울,1944-01-16,-7.8,-11.6,-2.7,,4.2,2.5
108,서울,1944-01-17,-6.6,-12.2,-1.6,,4.3,2
108,서울,1944-01-18,-6.6,-11.2,-1.9,,6,2.3
108,서울,1944-01-19,-6.7,-13.6,-.4,,3.8,1.5
108,서울,1944-01-20,-5.3,-12.9,.7,,4.2,1.4
108,서울,1944-01-21,-2.7,-9.9,2.5,,4.5,1.5
108,서울,1944-01-22,-1.3,-6.7,4.5,,2.8,.8
108,서울,1944-01-23,-.7,-7.8,7.1,,5.3,1.7
108,서울,1944-01-24,1.4,-7.1,8,,4.7,1.6
108,서울,1944-01-25,.1,-3.3,3.3,,5.8,2.6
108,서울,1944-01-26,-3.4,-7.9,1.3,,6.3,3
108,서울,1944-01-27,-4.4,-11,1.8,,4.2,1.6
108,서울,1944-01-28,-2.9,-9.3,3.6,,4,1.3
108,서울,1944-01-29,-1.5,-7.2,4.4,,4.7,1.4
108,서울,1944-01-30,-.4,-6.8,6,,7,2.4
108,서울,1944-01-31,-5.4,-9.2,-.7,,6.7,4.1
108,서울,1944-02-01,-6.4,-13.1,-.2,,5.8,2
108,서울,1944-02-02,-.9,-5.7,1.3,0,10.5,4.4
108,서울,1944-02-03,3.8,-.2,6.6,,7.3,4.7
108,서울,1944-02-04,2.5,-.9,4.8,0,5.8,2.9
108,서울,1944-02-05,-3.9,-6.9,-.9,.6,8,4.6
108,서울,1944-02-06,-4.4,-11.6,.2,.2,4.3,1.5
108,서울,1944-02-07,-2.5,-8.1,2.9,0,7.8,3.9
108,서울,1944-02-08,-7,-13.4,-.5,,5.3,2.3
108,서울,1944-02-09,-.2,-8.7,5.1,,8.3,2.9
108,서울,1944-02-10,-1.4,-4.8,5.8,.4,8.8,4.4
108,서울,1944-02-11,-.3,-9.5,5.8,,8,2.8
108,서울,1944-02-12,3.1,0,5.9,0,5,2.4
108,서울,1944-02-13,-3.6,-6.5,2.6,.1,7.8,4.5
108,서울,1944-02-14,-7.6,-10.5,-2.5,,9,3.3
108,서울,1944-02-15,-8.4,-13.1,-3.6,,4.8,2.4
108,서울,1944-02-16,-7.5,-13.2,-2.1,,3.8,2.2
108,서울,1944-02-17,-5.8,-11.4,.2,,5,1.6
108,서울,1944-02-18,-4.1,-8.4,1.5,0,5.3,2.3
108,서울,1944-02-19,-4.1,-12.4,1.3,2.6,5,1.8
108,서울,1944-02-20,-5.1,-8.7,-1,1.3,6.3,3.1
108,서울,1944-02-21,-5.7,-10.7,-.6,,6.7,2.8
108,서울,1944-02-22,-3.3,-10.4,3.4,,4.5,1.5
108,서울,1944-02-23,0,-8.5,7.9,,3.7,1.5
108,서울,1944-02-24,-2,-5.9,.4,7.2,10.7,4.3
108,서울,1944-02-25,-2.8,-8.9,3.1,,7.3,3.1
108,서울,1944-02-26,.3,-8.1,7.4,,6,2.2
108,서울,1944-02-27,1.8,-3.6,7.2,,7.5,2.9
108,서울,1944-02-28,1.8,-3,7.2,,7,2.9
108,서울,1944-02-29,2.5,-4.7,9.7,,5.1,2.2
108,서울,1944-03-01,3.5,-.8,10.4,,4.2,2.1
108,서울,1944-03-02,4.1,-3.2,13.4,,6.7,2
108,서울,1944-03-03,5.7,-2.5,12.9,,6.8,2.2
108,서울,1944-03-04,7.3,-.1,16,,5.8,1.5
108,서울,1944-03-05,3.4,-2.2,10.5,1.4,11.8,4.1
108,서울,1944-03-06,-1.9,-5.6,1.8,.3,5.2,3.2
108,서울,1944-03-07,-2.1,-6.6,1.6,0,8.2,4.1
108,서울,1944-03-08,.6,-3,3.8,,5.2,2.8
108,서울,1944-03-09,.1,-2.9,4.4,.2,7,3.2
108,서울,1944-03-10,-.8,-4.6,3.5,.4,6.2,3
108,서울,1944-03-11,1.2,-3.6,7.8,,5.8,2.6
108,서울,1944-03-12,.8,-3.5,7.6,,4.2,1.7
108,서울,1944-03-13,2,-3.5,8.9,,6.2,2.3
108,서울,1944-03-14,4.7,-1.4,11.1,,5,2.4
108,서울,1944-03-15,4.4,2.4,6.4,1.4,3.2,1.4
108,서울,1944-03-16,4.8,.5,9.8,0,5.3,2
108,서울,1944-03-17,4.5,1.3,8.6,,4.2,1.7
108,서울,1944-03-18,5.3,-.5,14,,5,2.1
108,서울,1944-03-19,3.4,-2.6,10,6,15,4.2
108,서울,1944-03-20,2.3,-1.2,5.4,0,10.8,4.8
108,서울,1944-03-21,2,-2,7.3,,10,3.8
108,서울,1944-03-22,2,-4.2,8,,5.8,2.3
108,서울,1944-03-23,3.3,-1.8,9.2,,10,3.8
108,서울,1944-03-24,3.3,-1.9,8.7,,7.5,3.4
108,서울,1944-03-25,4.6,-2.7,12.5,,5.3,2.2
108,서울,1944-03-26,7.4,-2.4,16.3,,6.8,2.3
108,서울,1944-03-27,9,1.8,18.2,,9,3.7
108,서울,1944-03-28,4.1,2.1,7.7,3.7,7.7,3.9
108,서울,1944-03-29,2.8,.4,5.2,7.7,6.7,2
108,서울,1944-03-30,4.4,-2.2,11,,5.2,1.7
108,서울,1944-03-31,2,-.2,4.4,7.3,6,1.7
108,서울,1944-04-01,4.5,.8,9.2,13.9,5,2.2
108,서울,1944-04-02,4.7,-.2,10,7,8,1.7
108,서울,1944-04-03,4.4,.1,8.9,,9.3,3.9
108,서울,1944-04-04,5.4,-.9,11.5,,5.5,2.3
108,서울,1944-04-05,8.5,-.5,18.6,,3.2,1.5
108,서울,1944-04-06,13.4,3.8,22.6,.9,8.8,3.4
108,서울,1944-04-07,10.9,6.8,14.2,56.4,12.5,7.8
108,서울,1944-04-08,10.5,5.8,16,,11.5,5.8
108,서울,1944-04-09,10.9,4.1,17.9,,6.3,3
108,서울,1944-04-10,9.3,4.8,15.3,,7,2.8
108,서울,1944-04-11,6.5,4.4,10.4,0,7.8,4.1
108,서울,1944-04-12,9,4,19.7,,5.7,2.8
108,서울,1944-04-13,8.9,4,15.3,,7.8,3
108,서울,1944-04-14,6.4,2.4,10.8,,9.3,4.6
108,서울,1944-04-15,8,1.9,13.4,,8.8,3.9
108,서울,1944-04-16,10.3,2.3,18.2,,7.3,2.5
108,서울,1944-04-17,11.4,2.9,20.7,,4.5,1.9
108,서울,1944-04-18,13.2,7.8,20.8,,6.3,1.9
108,서울,1944-04-19,10.9,4.8,17.7,,7.5,2.7
108,서울,1944-04-20,8.8,6,13.4,,8.2,4.4
108,서울,1944-04-21,8.8,1.5,16.4,,8.5,3.4
108,서울,1944-04-22,10.5,3.8,18.3,,6.8,3.1
108,서울,1944-04-23,13.4,4.1,21.7,,5,2.3
108,서울,1944-04-24,10.3,6.6,14.6,11.6,8.5,4.4
108,서울,1944-04-25,10.7,5.9,19,1.6,6.2,2.6
108,서울,1944-04-26,11.8,5.3,19.5,,9,2.3
108,서울,1944-04-27,11.5,10.3,12.8,2.1,4,1.5
108,서울,1944-04-28,10.3,7.8,14.1,.1,6.7,3
108,서울,1944-04-29,11.7,5.9,18.8,,7.3,3.7
108,서울,1944-04-30,14.1,6.4,23.4,,6,2.6
108,서울,1944-05-01,16.4,8.2,27.2,0,7,2.8
108,서울,1944-05-02,13.4,9.6,19,4.3,8.3,4.4
