瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),老碍荐樊(mm),弥措 浅加(m/s),乞闭 浅加(m/s)
159,何魂,1904-04-09,11.3,7.8,16.1,14.8,12.3,9.6
159,何魂,1904-04-10,9.3,4.7,15.2,,8.4,4.3
159,何魂,1904-04-11,10.6,,14.9,1,6,3.7
159,何魂,1904-04-12,11.3,8.8,13.4,1.8,7.1,6.3
159,何魂,1904-04-13,14.5,11.1,16.9,1.5,8.6,5.5
159,何魂,1904-04-14,9.4,8.6,16,35.2,13.7,10.7
159,何魂,1904-04-15,8.8,7.4,10.5,1.8,14.2,11.8
159,何魂,1904-04-16,9.2,6.7,11.3,.3,14.9,10.1
159,何魂,1904-04-17,10.3,,12.6,0,11.2,7.9
159,何魂,1904-04-18,11.7,9,,12.5,5.5,1.7
159,何魂,1904-04-19,11.8,9,15.4,0,5.9,2.9
159,何魂,1904-04-20,11.9,,,,6.7,3.5
159,何魂,1904-04-21,12.1,,18.3,,3.2,2.3
159,何魂,1904-04-22,12.2,7.2,17.2,,5.6,2.1
159,何魂,1904-04-23,14.7,12.6,16.4,20.5,4.7,1.4
159,何魂,1904-04-24,14.8,14,16.7,43.1,6.7,3.1
159,何魂,1904-04-25,13.8,13,15.1,16.6,4.6,2.1
159,何魂,1904-04-26,14.5,,17.6,17.4,5.5,3.5
159,何魂,1904-04-27,15.4,11.1,21.4,,4.7,2.8
159,何魂,1904-04-28,15.2,12.2,20.8,,5.1,2.4
159,何魂,1904-04-29,15.3,11.9,18.1,3,1.9,1.3
159,何魂,1904-04-30,16.1,14,20.9,3.4,6.7,3.7
159,何魂,1904-05-01,13.7,12.8,15.3,62.1,7.4,2.8
159,何魂,1904-05-02,15.9,12.9,19.5,7.2,10.4,6.8
159,何魂,1904-05-03,13.6,9.7,18,,4.7,3.6
159,何魂,1904-05-04,16.6,12.5,21.1,,8.6,4.8
159,何魂,1904-05-05,13.9,10.4,18.7,,6.1,4.9
159,何魂,1904-05-06,12.1,8.7,17.7,,6.7,3.4
159,何魂,1904-05-07,16.1,,21.9,,4.9,4.2
159,何魂,1904-05-08,17.7,13.2,23,,6.7,4.1
159,何魂,1904-05-09,17,13.5,23.6,,7.2,3.7
159,何魂,1904-05-10,16.2,12.8,21.7,,7.3,4.6
159,何魂,1904-05-11,15.8,13,18.2,96.2,11.5,4.2
159,何魂,1904-05-12,13.9,13,17.9,10.9,8.3,6.1
159,何魂,1904-05-13,14.2,12.7,17,,10.5,7.7
159,何魂,1904-05-14,13.5,10.4,18.6,,5,3.3
159,何魂,1904-05-15,15,10.5,21,,8.9,1.9
159,何魂,1904-05-16,16.3,,21.1,,6.2,2.9
159,何魂,1904-05-17,16.5,15.3,19.6,35.9,11.8,6.5
159,何魂,1904-05-18,16.7,13.4,23.5,,8.3,4.6
159,何魂,1904-05-19,16.3,,22.8,,6.4,3.4
159,何魂,1904-05-20,16.9,12.7,23.5,,2.2,1.6
159,何魂,1904-05-21,17.6,15.7,22.6,.2,4.4,2.3
159,何魂,1904-05-22,18.9,15.6,22.7,.4,7.7,2.6
159,何魂,1904-05-23,15.6,12.6,20.9,12.2,13.7,8.7
159,何魂,1904-05-24,14.2,11.2,16.1,6.7,7.7,7.5
