지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s)
108,서울,2004-01-01,3.7,1.2,5.9,,5.1,1.9
108,서울,2004-01-02,3.1,1.6,5.5,3,5.1,2.5
108,서울,2004-01-03,3.9,1.6,7.1,,4.9,2.2
108,서울,2004-01-04,1.8,-1.7,6.8,,3.5,1.3
108,서울,2004-01-05,2.9,-2.2,8.1,,3,1.4
108,서울,2004-01-06,4.5,1.8,6.8,,3.2,1.4
108,서울,2004-01-07,1.7,-1.5,5.1,,5.7,3
108,서울,2004-01-08,.3,-4,5.6,,2.5,1.3
108,서울,2004-01-09,1.8,-.8,5,,4.7,2.1
108,서울,2004-01-10,-.3,-3.5,3.2,,5.3,2.9
108,서울,2004-01-11,-.6,-5.6,4.5,,3.4,1.5
108,서울,2004-01-12,-.7,-4.5,1.8,1.9,7.8,2.8
108,서울,2004-01-13,-6.7,-8.8,-3.9,0,6.7,3.8
108,서울,2004-01-14,-5.1,-9.6,-1.3,,4.1,1.6
108,서울,2004-01-15,-1.3,-5,3.2,,3.8,1.7
108,서울,2004-01-16,1.4,-3.5,5.5,,2.9,1.7
108,서울,2004-01-17,1.2,.6,3.2,7.9,3.3,1.6
108,서울,2004-01-18,.3,-1.6,1.5,4.8,4.7,2.2
108,서울,2004-01-19,-1,-3.2,1.7,0,4.3,2.7
108,서울,2004-01-20,-4.4,-9.5,0,2.2,6,2.5
108,서울,2004-01-21,-14.3,-16,-9.5,,7.2,3.9
108,서울,2004-01-22,-13,-16.7,-9.1,,5.7,3.3
108,서울,2004-01-23,-8.7,-13.1,-4.9,,4.6,2
108,서울,2004-01-24,-7.3,-10.1,-3.7,,4.4,2.2
108,서울,2004-01-25,-7,-9.3,-3.7,,4.7,2.2
108,서울,2004-01-26,-5.9,-10.1,-2.2,,4.2,1.6
108,서울,2004-01-27,-4.1,-8.1,.3,,4.7,2.2
108,서울,2004-01-28,-.4,-5.3,4.9,,4.2,1.8
108,서울,2004-01-29,2.3,-.2,5.8,,4.3,1.8
108,서울,2004-01-30,1.7,-1.1,6,,4.7,1.7
108,서울,2004-01-31,1.9,-2.5,7.4,,3.5,1.6
108,서울,2004-02-01,3.1,-.6,9.1,,4,1.8
108,서울,2004-02-02,-1.7,-5.9,2.5,,6.2,3.6
108,서울,2004-02-03,-4.2,-7.1,-.5,,6.1,3.3
108,서울,2004-02-04,-1.4,-5.8,2.5,0,6.3,3.1
108,서울,2004-02-05,-4.9,-7.3,-.8,0,6.9,3.8
108,서울,2004-02-06,-4,-7.8,-.6,.4,6.9,2.5
108,서울,2004-02-07,-3.6,-7.6,-.4,0,6.7,3.4
108,서울,2004-02-08,-.2,-3.7,5.5,,5.7,2.7
108,서울,2004-02-09,-2.2,-6.5,3,,4.2,2
108,서울,2004-02-10,-.3,-5.5,4.5,,3.5,1.8
108,서울,2004-02-11,2.3,-.1,5.9,0,4.8,2.3
108,서울,2004-02-12,1.9,-1.3,6.5,,4.4,2.1
108,서울,2004-02-13,3.8,-1,7,,6.6,2.4
108,서울,2004-02-14,3.5,.8,6.8,.4,8.3,4.9
108,서울,2004-02-15,3.5,-.6,8.6,,7,2.7
108,서울,2004-02-16,4.2,-.4,9.6,,5,2.3
108,서울,2004-02-17,4.4,2.2,7.9,,6.6,3.4
108,서울,2004-02-18,5.3,-.5,11.3,,6.8,2.6
108,서울,2004-02-19,8.2,1.5,15.6,,3.6,1.7
108,서울,2004-02-20,11.5,3.2,18.7,,4.9,1.8
108,서울,2004-02-21,10.7,7.9,14.6,46,9.1,2.5
108,서울,2004-02-22,3.7,1.2,13.3,6.5,11.1,4.6
108,서울,2004-02-23,1.5,-1.3,6,,6.5,3.2
108,서울,2004-02-24,4,.4,6.3,,7.4,3.4
108,서울,2004-02-25,6,2.4,10.6,,8.4,4.2
108,서울,2004-02-26,1.5,-.8,4.8,.3,6.6,3.7
108,서울,2004-02-27,1.9,-1.8,6.1,,5.3,2.6
108,서울,2004-02-28,5.5,.3,10.5,1,5.4,2.3
108,서울,2004-02-29,2.9,.3,6.5,,5.8,3
108,서울,2004-03-01,1.7,-1.1,6,,5.8,3.3
108,서울,2004-03-02,-2,-4.5,1.5,,5.7,3.7
108,서울,2004-03-03,-1.7,-4.3,2.2,,4.4,2.4
108,서울,2004-03-04,-1.5,-5.5,2.5,14.6,6.7,2.5
108,서울,2004-03-05,-.1,-1.7,3.5,0,4.6,1.9
108,서울,2004-03-06,-3.4,-5,-.8,,6,3.7
108,서울,2004-03-07,-1.4,-5.6,2.2,,5.8,3.2
108,서울,2004-03-08,3.1,-2.2,6.9,,6.6,2.8
108,서울,2004-03-09,7.8,1.2,13.5,,6.7,2.8
108,서울,2004-03-10,10.4,7.5,14,,9.2,4.3
108,서울,2004-03-11,5.7,3.2,9.1,,5.9,2.8
108,서울,2004-03-12,6.9,2.9,11.6,,5.6,2.6
108,서울,2004-03-13,7.8,4,12.6,,4,1.9
108,서울,2004-03-14,6.7,4,12,,5,2.2
108,서울,2004-03-15,9.4,2.2,15.8,,3.8,1.7
108,서울,2004-03-16,14.5,8.8,18.7,1,8.8,3.4
108,서울,2004-03-17,4.9,-1,16.3,9,7.1,4.4
108,서울,2004-03-18,2.1,-1.8,7,,5,3.3
108,서울,2004-03-19,4.2,-.5,9.6,,4.9,2.2
108,서울,2004-03-20,7,2.2,12.3,,5.1,2.1
108,서울,2004-03-21,10,4,15.5,,3.7,1.6
108,서울,2004-03-22,10.8,7.5,16,,5.7,2.6
108,서울,2004-03-23,9,4.5,14,,4.3,2.5
108,서울,2004-03-24,8.9,6.3,13.1,1,5.7,2.8
108,서울,2004-03-25,9.1,5.5,14.3,,4.8,2.4
108,서울,2004-03-26,10.6,4.5,16.2,,5.1,2
108,서울,2004-03-27,10.8,6,16.2,,4.9,2.1
108,서울,2004-03-28,11.7,4.4,18.2,,6.3,2.3
108,서울,2004-03-29,14.1,11.1,18,0,5.1,2.2
108,서울,2004-03-30,9.7,5.9,13.6,2,6.6,4.3
108,서울,2004-03-31,7.9,3.9,12.3,,5.7,2.8
108,서울,2004-04-01,9.1,4.1,16.7,10.5,7.7,2.5
108,서울,2004-04-02,5.6,4.5,7.5,2,7.1,4.6
108,서울,2004-04-03,6.4,2.7,9.6,0,4.6,2.2
108,서울,2004-04-04,7.6,2.7,13,,7.1,2.6
108,서울,2004-04-05,9.1,4.5,14.6,,5.8,2.9
108,서울,2004-04-06,7.9,5.5,10.8,0,4.4,1.5
108,서울,2004-04-07,10.3,7.4,15.1,0,6.2,2.6
108,서울,2004-04-08,10.5,4.8,15.8,,6.6,3
108,서울,2004-04-09,13,7.4,19.7,,6.5,2.7
108,서울,2004-04-10,15.1,8.5,21.3,,4.3,2.1
108,서울,2004-04-11,16.1,12.1,22.2,,5.4,2.5
108,서울,2004-04-12,16.6,11.5,21.7,,4.8,1.7
108,서울,2004-04-13,17.1,13,22.7,,5.4,2.8
108,서울,2004-04-14,16.8,12,23.3,,5.8,2.4
108,서울,2004-04-15,15.5,10.3,21.7,,5.8,2.3
108,서울,2004-04-16,15.6,11.6,20.2,,7.8,3.7
108,서울,2004-04-17,17.5,11.3,23,,7.3,2.9
108,서울,2004-04-18,19.7,11.8,27.3,2.5,4,1.8
108,서울,2004-04-19,14.2,12.1,16.1,15.5,5.2,3.1
108,서울,2004-04-20,15.6,10.6,21.3,,5.2,2.9
108,서울,2004-04-21,18.9,10.1,25.2,,7.6,2.9
108,서울,2004-04-22,16,13.1,19.1,.1,5.1,3
108,서울,2004-04-23,12.8,9.3,16.8,,5.4,3.4
108,서울,2004-04-24,11.8,7.9,17.2,,6.5,3.2
108,서울,2004-04-25,13,8.3,17.6,,6.3,3.2
108,서울,2004-04-26,10.3,7.6,14.3,30.5,6.8,3.8
108,서울,2004-04-27,8.2,5.9,11.8,13,6.4,3.2
108,서울,2004-04-28,11.9,5.1,18.1,,5,2.2
108,서울,2004-04-29,14.8,7.5,21.7,,7.2,2.8
108,서울,2004-04-30,17.3,13.1,22.6,,3.2,1.6
108,서울,2004-05-01,19.6,13.1,25.7,,4.7,2.7
108,서울,2004-05-02,17.4,15.5,20.2,1,4.3,2.7
108,서울,2004-05-03,14.8,11.1,17.1,16.5,4.5,2.7
108,서울,2004-05-04,14.2,9.3,20.3,0,5.8,2.5
108,서울,2004-05-05,15.5,8.8,21.8,,8.5,3.9
108,서울,2004-05-06,16.9,13.8,21.8,,6.2,3
108,서울,2004-05-07,17.7,9.6,24.6,,4.7,1.7
108,서울,2004-05-08,18.1,13.6,21.5,0,4.7,1.9
108,서울,2004-05-09,14.8,13.6,17.8,30,4.4,3.3
108,서울,2004-05-10,14.9,13.6,16.2,10.5,4.4,2.6
108,서울,2004-05-11,17.3,12,22.6,,4.1,2
108,서울,2004-05-12,16.9,15.3,18.7,13.5,3.2,1.5
108,서울,2004-05-13,15.8,13.6,19.2,1.5,4.8,2.9
108,서울,2004-05-14,18.7,11.6,26,,4.5,1.8
108,서울,2004-05-15,15.9,13.6,18.7,.5,5.2,1.8
108,서울,2004-05-16,16.3,13,21.5,,4.7,2.2
108,서울,2004-05-17,14.5,12.8,17.7,.5,8,3.9
108,서울,2004-05-18,16.8,13.3,21.7,2,7.4,2.2
108,서울,2004-05-19,19.3,16,24.2,0,9.1,5.2
108,서울,2004-05-20,17.5,15.1,22.3,17,6.4,3
108,서울,2004-05-21,16.7,13.6,21.8,3,6.4,3.3
108,서울,2004-05-22,17.8,12.3,23.2,,6.6,3.2
108,서울,2004-05-23,17.4,12.8,22,,4.8,2.6
108,서울,2004-05-24,18.7,13.5,25,,5.7,2.5
108,서울,2004-05-25,19.8,13.8,26,,4.8,2.1
108,서울,2004-05-26,19.9,16.1,24.3,0,5.3,1.4
108,서울,2004-05-27,21.8,17.7,27.6,5.5,5,2
108,서울,2004-05-28,18.8,16.7,21.1,67,5.9,2.6
108,서울,2004-05-29,20.1,16.7,24.7,0,3.7,1.9
108,서울,2004-05-30,21.5,17.8,26.7,,4.3,1.8
108,서울,2004-05-31,20.6,16,25.7,,5.1,2.8
108,서울,2004-06-01,21.2,14.6,28.2,,3.3,1.4
108,서울,2004-06-02,23.3,15.8,30.6,,4.6,1.9
108,서울,2004-06-03,26,18.7,32.5,,3.7,1.7
108,서울,2004-06-04,26.3,20.2,32.4,,4.2,1.9
108,서울,2004-06-05,25.8,21.7,31.2,,4.5,1.7
108,서울,2004-06-06,23.4,22.1,25.1,0,4.6,2
108,서울,2004-06-07,21.5,20,24.7,0,4.6,1.7
108,서울,2004-06-08,20,18,22.3,0,3.9,2.1
108,서울,2004-06-09,20.6,16,25.2,,5.5,2.2
108,서울,2004-06-10,23.3,17.3,29,,3.8,1.8
108,서울,2004-06-11,25.3,20.8,30.1,,4.4,2.2
108,서울,2004-06-12,25,19.7,30.7,,5.3,2.7
108,서울,2004-06-13,23.4,18.7,28.6,,6,2.9
108,서울,2004-06-14,23.6,18.2,29,,4.8,2.2
108,서울,2004-06-15,25.5,18.8,31.5,,3.8,1.3
108,서울,2004-06-16,25.5,20.1,31,,4,2
108,서울,2004-06-17,19.2,18.1,24.5,21,3.7,2.4
108,서울,2004-06-18,20.5,17.2,23.8,1.5,3,1.8
108,서울,2004-06-19,20.7,19.6,22.7,84,4.9,2.3
108,서울,2004-06-20,21.8,19.2,23.5,11,5.3,2.5
108,서울,2004-06-21,22.5,19,26.7,,5.1,2.6
108,서울,2004-06-22,21,18.1,25,20,6.8,2.8
108,서울,2004-06-23,22,19.3,27,.5,5.2,2.2
108,서울,2004-06-24,25.2,20.8,30.2,,3.9,1.8
108,서울,2004-06-25,25.2,21.3,29.6,,4.8,2.1
108,서울,2004-06-26,24.3,22.5,28.5,.1,4.3,1.8
108,서울,2004-06-27,24.5,21.8,28.7,,4.4,2.2
108,서울,2004-06-28,22.6,21,25.8,,4.4,2.1
108,서울,2004-06-29,22.1,20.5,24.7,,3.5,2.1
108,서울,2004-06-30,24.7,21.2,29.1,,3.3,1.6
108,서울,2004-07-01,24,22,26.7,4.5,4.2,1.9
108,서울,2004-07-02,23.1,21.3,24.2,10.5,5.1,1.9
108,서울,2004-07-03,24.4,22,26.8,10.5,3.5,1
108,서울,2004-07-04,21.1,19.7,22.7,62,7.9,4.5
108,서울,2004-07-05,22.8,19.5,26.2,14,6.4,3.8
108,서울,2004-07-06,23.3,20.8,26.3,58,7.8,2
108,서울,2004-07-07,21.5,20.7,22.2,31.5,3.8,1.8
108,서울,2004-07-08,21.2,19.7,23.3,5,4.3,1.5
108,서울,2004-07-09,22.7,19.7,27.3,,3.8,1.9
108,서울,2004-07-10,24.1,19.8,28.8,,3.8,1.7
108,서울,2004-07-11,23.4,21.1,27.7,12,4.8,1.6
108,서울,2004-07-12,22.4,20.8,23.2,70,6.7,3
108,서울,2004-07-13,21,19.7,22.8,30.5,3.4,1.5
108,서울,2004-07-14,23.5,20.3,27.6,3.5,4.2,1
108,서울,2004-07-15,22.8,22.2,23.7,37,6.1,2.2
108,서울,2004-07-16,23,22.2,24.6,108.5,7,2.7
108,서울,2004-07-17,22.3,21.6,23.2,37.5,6,2.7
108,서울,2004-07-18,25.2,22.1,28.2,.1,5.2,2.2
108,서울,2004-07-19,26.4,25.2,28.3,0,7.6,4.6
108,서울,2004-07-20,25.7,24.8,26.8,1,5.3,3.3
108,서울,2004-07-21,26.8,24.1,31.8,,4.3,2.5
108,서울,2004-07-22,27.4,24.1,32,,4.1,2
108,서울,2004-07-23,28.3,24,33.2,,5.3,2.1
108,서울,2004-07-24,27.6,23.7,30.8,,3.9,2
108,서울,2004-07-25,25.4,22.6,28,14.5,4.4,1.8
108,서울,2004-07-26,26.5,23.8,29.2,.1,4.5,2.1
108,서울,2004-07-27,27.6,24.7,30.2,,5.7,2.8
108,서울,2004-07-28,28.7,26,32.7,,4.4,2.7
108,서울,2004-07-29,28.9,24.1,33.2,,3.5,1.7
108,서울,2004-07-30,29.2,25.2,33.4,,4.1,2.2
108,서울,2004-07-31,29.9,24.7,34.5,,3.9,1.9
108,서울,2004-08-01,29.4,25.3,34.2,,4.8,3.2
108,서울,2004-08-02,28.3,23.7,33.2,,4.5,2.3
108,서울,2004-08-03,28.8,25.7,32.7,,5.5,2.2
108,서울,2004-08-04,28.5,23.2,32.9,39.5,4.9,1.7
108,서울,2004-08-05,27.6,23.8,32.7,.5,5.5,2.1
108,서울,2004-08-06,28.3,24.7,32.9,,5.2,2.3
108,서울,2004-08-07,28.5,26.2,32.4,,4.8,2.5
108,서울,2004-08-08,27.8,26.1,32,.2,5.3,2.7
108,서울,2004-08-09,28.6,25,33,0,4.3,2.1
